lemma,word,part_of_speech,category,meaning,question_id,code,p_0_masked,p_20_masked,p_40_masked,p_60_masked,p_80_masked
take,take,VERB,Technical Term,Medication Administration,85741,r008,False,False,True,False,True
minute,minutes,NOUN,TIME,Unit of Time,85741,r003,False,False,False,False,True
long,long,ADV,,,85741,r002,False,False,False,True,True
pill,pills,NOUN,Technical Term,Medication,85741,r005,False,True,True,True,True
run,run,VERB,,,85741,r007,False,False,False,True,True
follow,following,VERB,Technical Term,To be part of a sequence,14727,r005,False,False,True,True,True
CANNOT,CANNOT,PROPN,Technical Term,Possibility,14727,r001,False,False,True,True,True
true,true,ADJ,technical term,Correct or accurate,14727,r014,False,False,True,False,True
sum,sum,NOUN,technical term,Total obtained from addition,14727,r013,False,True,False,False,True
consecutive,consecutive,ADJ,Technical Term,Following in a series,14727,r004,False,False,True,True,False
integer,integers,NOUN,Technical Term,Whole number,14727,r007,False,True,False,False,True
i.,I.,NOUN,ORG,Option One,14727,r006,False,False,False,True,False
product,product,NOUN,technical term,Mathematical result of multiplication,14727,r011,False,False,False,False,True
integer,integers,NOUN,Technical Term,Whole number,14727,r007,False,True,False,False,True
positive,positive,ADJ,Technical Term,Valoration greater than zero,14727,r010,False,False,False,True,True
II,II,PROPN,Individual Name,Option Two,14727,r002,False,False,True,False,True
small,smallest,ADJ,Technical Term,Describes a physical quantity or characteristic relating to size relative to some scale or standard.,14727,r012,False,False,False,True,True
integer,integers,NOUN,Technical Term,Whole number,14727,r007,False,True,False,False,True
III,III,PROPN,Individual Name,Option Three,14727,r003,False,False,True,False,True
large,largest,ADJ,Technical Term,Size or amount,14727,r008,False,True,False,True,True
integer,integers,NOUN,Technical Term,Whole number,14727,r007,False,True,False,False,True
negative,negative,ADJ,Technical Term,Valoration less than zero,14727,r009,False,False,False,True,False
point,points,NOUN,technical term,a specific location in space,69576,r003,False,True,True,True,True
vertex,vertices,NOUN,technical term,a corner or angle of a polygon,69576,r007,False,False,False,True,True
certain,certain,ADJ,technical term,describing a quality or feature that is specific and definite,69576,r001,False,False,True,False,False
square,square,NOUN,technical term,a geometric shape with four equal sides and four right angles,69576,r006,False,False,True,False,True
follow,following,VERB, ,to adhere to or comply with something,69576,r002,False,False,False,True,True
point,points,NOUN,technical term,a specific location in space,69576,r003,False,True,True,True,True
same,same,ADJ, ,identical or alike in some way,69576,r005,False,False,False,False,True
quadrant,quadrant,NOUN,technical term,one of the four sections of a plane divided by two perpendicular lines,69576,r004,False,False,False,True,True
vertex,vertex,NOUN,technical term,a corner or angle of a polygon,69576,r007,False,False,False,True,True
square,square,NOUN,technical term,a geometric shape with four equal sides and four right angles,69576,r006,False,False,True,False,True
year,year,NOUN,Unit of time,Period of 365 days,36939,r020,False,False,False,False,True
Taylor,Taylor,PROPN,PERSON,Person attending carnival,36939,r001,False,False,False,False,True
go,goes,VERB,General Action,Travel to a location,36939,r008,False,False,False,True,True
same,same,ADJ,organization name,Carnival,36939,r013,False,False,False,True,True
carnival,carnival,NOUN,,"Event with games and activities, including basketball shooting",36939,r006,False,False,False,False,True
attempt,attempts,VERB,,Action of trying to shoot a basket,36939,r002,False,True,False,True,False
shoot,shoot,VERB,Action Verb,Attempt a throw with purpose,36939,r014,False,False,False,True,True
basketball,basketball,NOUN,,Type of ball used in the game,36939,r004,False,False,True,True,True
small,small,ADJ,technical term,Basketball hoop,36939,r015,False,False,True,False,True
hoop,hoop,NOUN,,Target for shooting the basketball,36939,r009,False,False,False,True,True
hope,hoping,VERB,,Desired outcome of successfully shooting baskets,36939,r010,False,True,True,True,True
win,win,VERB,Action Verb,"Achieve victory, Succeed in competition",36939,r019,False,True,True,False,True
tall,tall,ADJ,technical term,Teddy bear,36939,r016,False,False,True,True,False
teddy,teddy,PROPN,individual name,Prize,36939,r017,False,False,False,True,False
bear,bear,PROPN,Individual Name,Toy,36939,r005,False,False,True,True,True
Taylor,Taylor,PROPN,PERSON,Person attending carnival,36939,r001,False,False,False,False,True
make,make,VERB,Action Verb,"Achieve desired outcome, Succeed",36939,r011,False,False,True,True,False
basket,basket,NOUN,,Target in basketball game,36939,r003,False,False,False,True,True
Taylor,Taylor,PROPN,PERSON,Person attending carnival,36939,r001,False,False,False,False,True
make,makes,VERB,Action Verb,"Achieve desired outcome, Succeed",36939,r011,False,False,True,True,False
exactly,exactly,ADV,,Specific number of baskets,36939,r007,False,True,False,False,True
basket,basket,NOUN,,Target in basketball game,36939,r003,False,False,False,True,True
try,tries,NOUN,technical term,Attempt a basketball shot,36939,r018,False,False,False,False,True
car,car,NOUN,technical term,vehicle,77707,r001,False,True,False,True,True
move,moves,NOUN,technical term,change in position,77707,r004,False,False,True,True,True
hr,hr,NOUN,technical term,hour,77707,r002,False,False,True,True,True
speed,speed,NOUN,technical term,rate of motion,77707,r006,False,False,False,False,True
car,car,NOUN,technical term,vehicle,77707,r001,False,True,False,True,True
meter,meters,NOUN,technical term,unit of measurement,77707,r003,False,False,False,False,True
second,second,ADV,technical term,unit of time,77707,r005,False,False,False,True,False
person,persons,NOUN,individual name,Human being,30284,r008,False,False,False,True,True
go,went,VERB,,To travel or move,30284,r003,False,False,False,False,True
hotel,hotel,NOUN,organization name,Place of accommodation,30284,r004,False,False,True,True,True
take,taking,VERB,Action,To consume or receive,30284,r011,False,False,True,False,False
meal,meals,NOUN,,Food consumed in one sitting,30284,r005,False,True,False,False,True
spend,spent,VERB,,To use or expend money,30284,r010,False,False,False,True,True
r 12,Rs 12,NOUN,PRODUCT,Product identifier 'R 12',30284,r009,False,False,False,True,True
meal,meals,NOUN,,Food consumed in one sitting,30284,r005,False,True,False,False,True
spend,spent,VERB,,To use or expend money,30284,r010,False,False,False,True,True
more,more,ADJ,,A larger amount or degree,30284,r007,False,False,False,True,True
average,average,ADJ,technical term,Calculating average value,30284,r001,False,False,True,False,True
expenditure,expenditure,NOUN,,Cost or amount spent,30284,r002,False,True,True,True,True
total,total,ADJ,Technical Term,Summation of various values,30284,r012,False,False,True,True,False
money,money,NOUN,,Currency used for transactions,30284,r006,False,False,False,False,True
spend,spent,VERB,,To use or expend money,30284,r010,False,False,False,True,True
initially,Initially,ADV,Other,At the beginning,72282,r005,False,False,True,True,True
man,men,NOUN,individual name,male human being,72282,r007,False,False,False,True,True
woman,women,NOUN,individual name,Female human being,72282,r014,False,True,False,True,False
room,room,NOUN,general concept,Enclosed space,72282,r012,False,False,False,False,True
ratio,ratio,NOUN,technical term,Mathematical comparison of two quantities,72282,r011,False,False,False,False,True
then,Then,ADV,time,Indicates a sequence of events,72282,r013,False,False,True,False,True
man,men,NOUN,individual name,male human being,72282,r007,False,False,False,True,True
enter,entered,VERB,technical term,to join or come into a given space,72282,r004,False,True,False,True,True
room,room,NOUN,general concept,Enclosed space,72282,r012,False,False,False,False,True
woman,women,NOUN,individual name,Female human being,72282,r014,False,True,False,True,False
leave,left,VERB,technical term,to depart from a given space,72282,r006,False,False,True,False,False
room,room,NOUN,general concept,Enclosed space,72282,r012,False,False,False,False,True
then,Then,ADV,time,Indicates a sequence of events,72282,r013,False,False,True,False,True
number,number,NOUN,Technical Term,Quantity,72282,r010,False,False,False,True,True
woman,women,NOUN,individual name,Female human being,72282,r014,False,True,False,True,False
double,doubled,VERB,technical term,to increase by a factor of two,72282,r003,False,False,False,False,False
now,Now,ADV,Other,At this moment in time,72282,r009,False,False,False,True,True
be,are,VERB,Technical Term,Exist,72282,r001,False,False,True,True,True
man,men,NOUN,individual name,male human being,72282,r007,False,False,False,True,True
room,room,NOUN,general concept,Enclosed space,72282,r012,False,False,False,False,True
many,many,ADJ,Other,A large amount,72282,r008,False,False,True,True,True
woman,women,NOUN,individual name,Female human being,72282,r014,False,True,False,True,False
currently,currently,ADV,Other,At the present time,72282,r002,False,True,True,False,True
room,room,NOUN,general concept,Enclosed space,72282,r012,False,False,False,False,True
complete,complete,VERB,technical term,Finished,30265,r001,False,False,False,False,True
project,project,NOUN,,Task,30265,r004,False,False,False,True,True
complete,complete,VERB,technical term,Finished,30265,r001,False,False,False,False,True
same,same,ADJ,,Identical,30265,r006,False,True,False,True,True
project,project,NOUN,,Task,30265,r004,False,False,False,True,True
start,start,VERB,technical term,Begin,30265,r007,False,False,True,True,True
work,working,VERB,technical term,Labor,30265,r009,False,False,False,False,False
project,project,NOUN,,Task,30265,r004,False,False,False,True,True
together,together,ADV,,Simultaneously,30265,r008,False,False,True,False,True
quit,quits,NOUN,technical term,To cease,30265,r005,False,False,False,True,True
project,project,NOUN,,Task,30265,r004,False,False,False,True,True
complete,completed,VERB,technical term,Finished,30265,r001,False,False,False,False,True
many,many,ADJ,,A large quantity,30265,r003,False,False,True,False,True
day,days,NOUN,,Time,30265,r002,False,True,True,True,False
project,project,NOUN,,Task,30265,r004,False,False,False,True,True
complete,completed,VERB,technical term,Finished,30265,r001,False,False,False,False,True
timing,timing,NOUN,technical term,"The schedule or timeframe for events, particularly in education.",95704,r012,False,False,False,False,True
college,college,NOUN,ORGANIZATION NAME,Educational Institution,95704,r004,False,False,True,False,True
12 p.m,12 p.m,NUM,MONEY,Time,95704,r001,False,False,True,True,True
p.m.,p.m.,NOUN,TIME,Time of day,95704,r010,False,False,False,True,True
lecture,lectures,NOUN,EVENT,Classroom presentation,95704,r009,False,True,True,True,False
hold,held,VERB,,Retain or keep,95704,r008,False,False,True,False,False
give,given,VERB,,Provide or bestow,95704,r007,False,False,False,True,True
duration,duration,NOUN,TIME,Length of time,95704,r005,False,True,True,True,True
break,break,NOUN,EVENT,Pause in activity,95704,r003,False,False,False,True,True
5 minute,5 minutes,NUM,TIME,Duration,95704,r002,False,False,False,False,True
lecture,lecture,NOUN,EVENT,Classroom presentation,95704,r009,False,True,True,True,False
give,given,VERB,,Provide or bestow,95704,r007,False,False,False,True,True
student,students,NOUN,individual name,A person enrolled in a college or university.,95704,r011,False,False,False,False,True
find,Find,VERB,,Discover or ascertain,95704,r006,False,False,False,True,True
duration,duration,NOUN,TIME,Length of time,95704,r005,False,True,True,True,True
lecture,lecture,NOUN,EVENT,Classroom presentation,95704,r009,False,True,True,True,False
statue,statue,NOUN,technical term,Sculpture,94652,r011,False,False,False,True,False
carve,carved,VERB,technical term,Sculpture creation process,94652,r002,False,False,False,True,False
sculptor,sculptor,NOUN,individual name,Artist who creates sculptures,94652,r010,False,False,False,False,True
original,original,ADJ,Technical Term,Initial form of the sculpture,94652,r007,False,False,True,False,True
piece,piece,NOUN,Technical Term,Fragment or section of the sculpture,94652,r008,False,False,True,False,False
marble,marble,NOUN,Technical Term,A type of stone used in sculpting and construction.,94652,r006,False,True,True,True,True
weigh,weighed,VERB,,To determine the mass of something using a balance.,94652,r012,False,False,False,True,True
cut,cut,VERB,technical term,Sculpture refinement process,94652,r004,False,True,False,False,True
away,away,ADV,Other,Describes the direction or state of removal.,94652,r001,False,False,False,True,True
remainder,remainder,NOUN,technical term,Unsculpted portion of the marble,94652,r009,False,False,False,False,True
cut,cut,VERB,technical term,Sculpture refinement process,94652,r004,False,True,False,False,True
away,away,ADV,Other,Describes the direction or state of removal.,94652,r001,False,False,False,True,True
statue,statue,NOUN,technical term,Sculpture,94652,r011,False,False,False,True,False
complete,completed,VERB,technical term,Finishing a sculpture,94652,r003,False,True,True,True,True
remainder,remainder,NOUN,technical term,Unsculpted portion of the marble,94652,r009,False,False,False,False,True
cut,cut,VERB,technical term,Sculpture refinement process,94652,r004,False,True,False,False,True
away,away,ADV,Other,Describes the direction or state of removal.,94652,r001,False,False,False,True,True
weight,weight,NOUN,technical term,Force of gravity acting on an object's mass.,94652,r013,False,False,False,True,True
final,final,ADJ,Technical term,Completed state of the sculpture,94652,r005,False,False,True,True,True
statue,statue,NOUN,technical term,Sculpture,94652,r011,False,False,False,True,False
positive,positive,ADJ,technical term,greater than zero,93830,r005,False,False,True,True,True
integer,integer,NOUN,technical term,whole number,93830,r004,False,False,False,True,True
great,greater,ADJ,individual name,referring to size or extent,93830,r003,False,False,True,False,False
positive,positive,ADJ,technical term,greater than zero,93830,r005,False,False,True,True,True
integer,integer,NOUN,technical term,whole number,93830,r004,False,False,False,True,True
difference,difference,NOUN,technical term,calculation involving subtraction,93830,r002,False,False,False,True,True
cube,cubes,NOUN,technical term,math operation,93830,r001,False,False,False,True,True
sum,sum,NOUN,technical term,calculation involving addition,93830,r006,False,True,False,False,True
solution,solution,NOUN,Technical Term,A homogeneous mixture of two or more substances,48338,r005,False,False,False,False,True
sugar,sugar,NOUN,Technical Term,"A sweet, crystalline substance used as a food additive",48338,r006,False,False,True,True,True
water,water,NOUN,Technical Term,"A transparent, odorless liquid essential for life",48338,r007,False,False,False,True,True
sugar,sugar,NOUN,Technical Term,"A sweet, crystalline substance used as a food additive",48338,r006,False,False,True,True,True
much,much,ADJ,Quantity,A large amount,48338,r004,False,False,False,True,True
water,water,NOUN,Technical Term,"A transparent, odorless liquid essential for life",48338,r007,False,False,False,True,True
milliliter,milliliters,NOUN,Technical Term,A unit of volume,48338,r003,False,False,False,True,True
add,added,VERB,Action,To incorporate or increase a quantity,48338,r001,False,False,True,False,False
make,make,VERB,Action,To create or produce something,48338,r002,False,True,True,False,True
solution,solution,NOUN,Technical Term,A homogeneous mixture of two or more substances,48338,r005,False,False,False,False,True
sugar,sugar,NOUN,Technical Term,"A sweet, crystalline substance used as a food additive",48338,r006,False,False,True,True,True
coin,coin,NOUN,technical term,Currency,86193,r001,False,False,True,True,True
flip,flipped,VERB,technical term,To toss a coin,86193,r002,False,False,True,False,True
probability,probability,NOUN,technical term,Chance or likelihood,86193,r005,False,True,False,True,False
coin,coin,NOUN,technical term,Currency,86193,r001,False,False,True,True,True
land,land,VERB,technical term,The result of a coin flip,86193,r003,False,False,False,False,True
tail,tails,NOUN,technical term,Side of a coin that results in tails,86193,r006,False,False,False,True,True
coin,coin,NOUN,technical term,Currency,86193,r001,False,False,True,True,True
flip,flipped,VERB,technical term,To toss a coin,86193,r002,False,False,True,False,True
time,times,NOUN,technical term,Duration or unit of measurement,86193,r007,False,False,False,False,True
probability,probability,NOUN,technical term,Chance or likelihood,86193,r005,False,True,False,True,False
land,land,VERB,technical term,The result of a coin flip,86193,r003,False,False,False,False,True
tail,tails,NOUN,technical term,Side of a coin that results in tails,86193,r006,False,False,False,True,True
flip,flips,NOUN,technical term,To toss a coin,86193,r002,False,False,True,False,True
last,last,ADJ,Technical Term,Referring to the final part or element in a sequence.,86193,r004,False,False,True,True,True
flip,flips,NOUN,technical term,To toss a coin,86193,r002,False,False,True,False,True
rectangular,rectangular,ADJ,technical term,Having four right angles and opposite sides equal in length,78536,r010,False,False,True,True,True
floor,floor,NOUN,organization name,Surface area designed for walking or standing,78536,r006,False,True,True,True,True
measure,measures,VERB,technical term,To gauge the dimensions of something,78536,r007,False,False,False,False,True
cover,covered,VERB,technical term,To completely fill the surface of something ,78536,r005,False,False,True,False,False
carpet,carpet,NOUN,technical term,Floor covering material,78536,r003,False,False,False,True,True
square,squares,VERB,technical term,Unit of area,78536,r011,False,False,False,False,True
measure,measure,NOUN,technical term,To gauge the dimensions of something,78536,r007,False,False,False,False,True
carpet,carpet,NOUN,technical term,Floor covering material,78536,r003,False,False,False,True,True
square,squares,NOUN,technical term,Unit of area,78536,r011,False,False,False,False,True
cost,cost,VERB,technical term,Price of an item,78536,r004,False,False,False,True,True
24,24,NUM,MONEY,Cost of the carpet squares per piece,78536,r001,False,False,False,True,False
apiece,apiece,ADV,TECHNICAL TERM,Describes the cost per individual unit of something,78536,r002,False,False,False,True,True
total,total,ADJ,organization name,Summation of all values,78536,r012,False,False,False,False,True
cost,cost,NOUN,technical term,Price of an item,78536,r004,False,False,False,True,True
number,number,NOUN,technical term,Amount,78536,r009,False,True,True,True,True
carpet,carpet,NOUN,technical term,Floor covering material,78536,r003,False,False,False,True,True
square,squares,NOUN,technical term,Unit of area,78536,r011,False,False,False,False,True
need,needed,VERB,TECHNICAL TERM,Expresses a requirement for covering the floor with carpet squares,78536,r008,False,False,True,False,True
cover,cover,VERB,technical term,To completely fill the surface of something ,78536,r005,False,False,True,False,False
floor,floor,NOUN,organization name,Surface area designed for walking or standing,78536,r006,False,True,True,True,True
people,people,NOUN,individual name,Collective term for human beings,66930,r005,False,True,True,True,True
there,there,ADV,multiple possible,"presence, existence",66930,r009,False,False,False,True,True
shake,shaking,VERB,technical term,Action of shaking hands,66930,r008,False,False,True,False,False
hand,hands,NOUN,technical term,Gestures of greeting or communication,66930,r002,False,False,False,True,True
together,together,ADV,,In a collective manner,66930,r010,False,False,False,True,True
many,many,ADJ,multiple possible,"quantity, abundance",66930,r003,False,False,True,False,True
hand,hand,NOUN,technical term,Gestures of greeting or communication,66930,r002,False,False,False,True,True
shake,shakes,VERB,technical term,Action of shaking hands,66930,r008,False,False,True,False,False
possible,possible,ADJ,Technical Term,"likelihood, probability",66930,r006,False,False,True,False,False
pair,pair,NOUN,technical term,A group of two,66930,r004,False,True,False,True,True
cyclic,cyclic,ADJ,technical term,Refers to a repeating pattern or cycle,66930,r001,False,False,False,False,True
sequence,sequence,NOUN,technical term,An ordered series of events or items,66930,r007,False,False,False,True,True
bag,bag,NOUN,organization name,Container holding money,5418,r001,False,False,False,False,False
fill,filled,VERB,technical term,Action of putting something inside a container until it is full,5418,r004,False,False,True,True,True
penny,pennies,NOUN,technical term,A particular type of coin,5418,r008,False,True,True,False,True
nickel,nickels,NOUN,technical term,A particular type of coin,5418,r006,False,False,False,False,True
ratio,ratio,NOUN,technical term,Relationship between quantities,5418,r009,False,False,True,True,True
be,are,VERB,technical term,State of existence,5418,r002,False,False,False,True,True
nickle,nickles,NOUN,organization name,"Error: A spelling error, should be 'nickel'",5418,r007,False,False,False,True,True
bag,bag,NOUN,organization name,Container holding money,5418,r001,False,False,False,False,False
many,many,ADJ,organization name,Large quantity,5418,r005,False,False,False,True,True
coin,coins,NOUN,technical term,Currency,5418,r003,False,True,False,True,False
there,there,ADV,organization name,Location,5418,r010,False,False,True,False,True
bag,bag,NOUN,organization name,Container holding money,5418,r001,False,False,False,False,False
person,persons,NOUN,individual name,human being,16576,r008,False,False,True,True,False
start,start,VERB,,Initiation of Movement,16576,r014,False,False,False,False,True
run,running,VERB,,move fast,16576,r010,False,False,False,True,False
simultaneously,simultaneously,ADV,,Concurrent Action,16576,r012,False,False,False,True,True
circular,circular,ADJ,technical term,shape,16576,r001,False,False,False,False,True
track,track,NOUN,Technical Term,Path of Movement,16576,r016,False,True,True,True,True
length,length,NOUN,technical term,distance,16576,r004,False,False,True,True,True
same,same,ADJ,Technical Term,Point of Reference for Movement,16576,r011,False,False,False,False,True
point,point,NOUN,,location,16576,r009,False,False,False,False,True
speed,speeds,NOUN,Technical Term,Rate of Motion,16576,r013,False,True,False,True,True
hr,hr,NOUN,technical term,unit of speed,16576,r003,False,False,True,True,True
hr,hr,NOUN,technical term,unit of speed,16576,r003,False,False,True,True,True
meet,meet,VERB,,encounter,16576,r005,False,False,True,False,True
time,time,NOUN,Technical Term,Measure of Duration,16576,r015,False,True,False,True,True
track,track,NOUN,Technical Term,Path of Movement,16576,r016,False,True,True,True,True
move,moving,VERB,,change position,16576,r006,False,False,False,True,True
opposite,opposite,ADJ,,contrary,16576,r007,False,False,True,False,True
direction,directions,NOUN,technical term,course,16576,r002,False,False,False,True,False
evaluate,Evaluate,VERB,technical term,To assess or determine the value of something,73670,r002,False,False,False,True,True
combination,combination,NOUN,technical term,A grouping of elements,73670,r001,False,False,True,False,True
length,length,NOUN,,Linear extent,59278,r005,False,False,True,False,True
bridge,bridge,NOUN,technical term,Architectural structure,59278,r002,False,False,False,True,True
train,train,NOUN,technical term,Locomotive with carriages,59278,r007,False,True,False,False,True
long,long,ADJ,,Extendable,59278,r006,False,False,True,True,True
travel,travelling,VERB,,Move from one place to another,59278,r008,False,True,False,True,False
hr,hr,NOUN,,Units of time,59278,r004,False,False,False,True,False
cross,cross,VERB,,Traverse,59278,r003,False,False,False,True,True
people,people,NOUN,individual name,Refers to a human being,61759,r002,False,False,False,False,True
take,took,VERB,,To complete or perform,61759,r007,False,True,True,True,True
test,tests,NOUN,technical term,A measure of performance or ability,61759,r008,False,False,False,True,True
range,ranges,NOUN,technical term,Spread or difference in values,61759,r005,False,False,True,True,False
score,scores,NOUN,technical term,result of a performance assessment,61759,r006,False,True,False,False,True
practice,practice,NOUN,technical term,Act of repeated exercises,61759,r004,False,False,True,False,False
test,tests,NOUN,technical term,A measure of performance or ability,61759,r008,False,False,False,True,True
minimum,minimum,ADJ,technical term,Lowest value,61759,r001,False,False,False,True,True
possible,possible,ADJ,technical term,Can occur or be achieved,61759,r003,False,False,False,True,True
range,range,NOUN,technical term,Spread or difference in values,61759,r005,False,False,True,True,False
score,scores,NOUN,technical term,result of a performance assessment,61759,r006,False,True,False,False,True
Ron,Ron,PROPN,PERSON,Individual,37815,r003,False,True,False,False,True
have,has,VERB,,,37815,r005,False,False,True,False,True
cycle,cycle,NOUN,technical term,Bicycles,37815,r004,False,False,False,False,True
worth,worth,ADJ,technical term,Value,37815,r010,False,False,False,True,True
want,wants,VERB,,,37815,r009,False,False,False,True,True
sell,sell,VERB,,,37815,r008,False,True,True,True,True
cycle,cycles,NOUN,technical term,Bicycles,37815,r004,False,False,False,False,True
sell,selling,VERB,,,37815,r008,False,True,True,True,True
population,population,NOUN,Technical Term,Total number of individuals in a given area or group,581,r008,False,False,True,True,True
certain,certain,ADJ,Individual Name,Specific country,581,r002,False,False,True,False,False
country,country,NOUN,Organization Name,Geographic region with defined borders and governance,581,r003,False,False,True,False,True
increase,increases,VERB,Technical Term,Change in quantity or magnitude over time,581,r005,False,True,True,False,True
rate,rate,NOUN,Technical Term,Measure of speed or frequency,581,r009,False,False,False,True,True
person,person,NOUN,Individual Name,Member of population,581,r007,False,True,False,True,True
every 40 second,every 40 seconds,DET,TIME,Frequency of increase,581,r004,False,False,False,False,True
many,many,ADJ,,,581,r006,False,False,False,True,True
person,persons,NOUN,Individual Name,Member of population,581,r007,False,True,False,True,True
population,population,NOUN,Technical Term,Total number of individuals in a given area or group,581,r008,False,False,True,True,True
increase,increase,NOUN,Technical Term,Change in quantity or magnitude over time,581,r005,False,True,True,False,True
colony,colony,NOUN,organization name,Group of people living together in a particular place,50449,r001,False,False,True,True,True
resident,residents,NOUN,individual name,Someone who lives in a particular place,50449,r008,False,False,False,True,False
ratio,ratio,NOUN,technical term,A comparison of two or more quantities,50449,r007,False,False,True,True,True
number,number,NOUN,technical term,A quantity or amount of something,50449,r005,False,False,False,False,True
man,men,NOUN,individual name,A male human being,50449,r004,False,False,False,False,False
woman,women,NOUN,Individual Name,A female person within a social context.,50449,r011,False,True,True,True,True
woman,women,NOUN,Individual Name,A female person within a social context.,50449,r011,False,True,True,True,True
ratio,ratio,NOUN,technical term,A comparison of two or more quantities,50449,r007,False,False,True,True,True
educate,educated,VERB,,To teach someone or to provide knowledge,50449,r002,False,False,False,True,True
uneducated,uneducated,ADJ,,Lacking education or knowledge,50449,r010,False,False,False,False,True
ratio,ratio,NOUN,technical term,A comparison of two or more quantities,50449,r007,False,False,True,True,True
number,number,NOUN,technical term,A quantity or amount of something,50449,r005,False,False,False,False,True
educate,educated,VERB,,To teach someone or to provide knowledge,50449,r002,False,False,False,True,True
uneducated,uneducated,ADJ,,Lacking education or knowledge,50449,r010,False,False,False,False,True
person,persons,NOUN,individual name,Any human being,50449,r006,False,False,False,True,True
then,then,ADV,,At that time or subsequently,50449,r009,False,True,True,True,True
find,find,VERB,,To discover something or solve a problem,50449,r003,False,False,False,False,True
ratio,ratio,NOUN,technical term,A comparison of two or more quantities,50449,r007,False,False,True,True,True
number,number,NOUN,technical term,A quantity or amount of something,50449,r005,False,False,False,False,True
educate,educated,VERB,,To teach someone or to provide knowledge,50449,r002,False,False,False,True,True
uneducated,uneducated,ADJ,,Lacking education or knowledge,50449,r010,False,False,False,False,True
man,men,NOUN,individual name,A male human being,50449,r004,False,False,False,False,False
colony,colony,NOUN,organization name,Group of people living together in a particular place,50449,r001,False,False,True,True,True
certain,certain,ADJ,Technical Term,Describes a specific characteristic of visual range,88412,r001,False,False,True,False,True
telescope,telescope,NOUN,Technical Term,Device used to enhance the visual range,88412,r007,False,True,True,False,False
increase,increases,VERB,Technical Term,Action related to modifying the visual range,88412,r002,False,False,False,True,True
visual,visual,ADJ,Technical Term,Pertaining to the sense of sight and its capabilities,88412,r009,False,False,True,True,True
range,range,NOUN,Technical Term,Measured extent of visual capabilities,88412,r006,False,False,False,False,True
particular,particular,ADJ,technical term,specifying a specific location or situation,88412,r004,False,False,False,True,True
location,location,NOUN,Technical Term,Represents a specific point where the visual range is measured,88412,r003,False,False,False,True,True
percent,percent,NOUN,Technical Term,Unit of measurement for the increase in visual range,88412,r005,False,False,False,True,False
visual,visual,ADJ,Technical Term,Pertaining to the sense of sight and its capabilities,88412,r009,False,False,True,True,True
range,range,NOUN,Technical Term,Measured extent of visual capabilities,88412,r006,False,False,False,False,True
increase,increased,VERB,Technical Term,Action related to modifying the visual range,88412,r002,False,False,False,True,True
use,using,VERB,Technical Term,Action of employing the telescope to modify the visual range,88412,r008,False,True,True,False,True
telescope,telescope,NOUN,Technical Term,Device used to enhance the visual range,88412,r007,False,True,True,False,False
average,average,NOUN,technical term,A measure of central tendency.,76766,r001,False,False,False,True,True
integer,integers,NOUN,technical term,A whole number.,76766,r003,False,False,True,True,True
none,none,NOUN,,,76766,r005,False,True,False,True,True
integer,integers,NOUN,technical term,A whole number.,76766,r003,False,False,True,True,True
great,greater,ADJ,,,76766,r002,False,False,True,False,True
average,average,NOUN,technical term,A measure of central tendency.,76766,r001,False,False,False,True,True
integer,integers,NOUN,technical term,A whole number.,76766,r003,False,False,True,True,True
least,least,ADJ,,,76766,r004,False,False,False,False,True
possible,possible,ADJ,,,76766,r007,False,False,False,True,False
value,value,NOUN,technical term,A quantity or quantity measure.,76766,r008,False,True,True,False,True
other,other,ADJ,,,76766,r006,False,False,False,True,False
integer,integers,NOUN,technical term,A whole number.,76766,r003,False,False,True,True,True
find,Find,VERB,action,To determine or locate something.,95459,r003,False,False,False,False,True
circumference,circumference,NOUN,technical term,The distance around a circle.,95459,r002,False,False,True,True,True
area,area,NOUN,technical term,A two-dimensional extent.,95459,r001,False,False,True,True,True
radius,radius,PROPN,technical term,The distance from the center of a circle to its edge.,95459,r004,False,True,False,False,False
orange,oranges,NOUN,Technical Term,Citrus fruit,68778,r006,False,False,False,True,False
contain,contained,VERB,,To hold or comprise something,68778,r002,False,True,True,False,True
water,water,NOUN,Technical Term,Transparent liquid essential for life,68778,r007,False,True,False,True,True
concentration,concentration,NOUN,Technical Term,Percentage of a substance in a mixture,68778,r001,False,False,True,True,True
water,water,NOUN,Technical Term,Transparent liquid essential for life,68778,r007,False,True,False,True,True
decrease,decreased,VERB,,To reduce in amount or size,68778,r003,False,False,True,True,True
new,new,ADJ,,Novel or recent,68778,r005,False,False,False,True,False
weight,weight,NOUN,Technical Term,Measure of heaviness,68778,r008,False,False,False,False,True
orange,oranges,NOUN,Technical Term,Citrus fruit,68778,r006,False,False,False,True,False
kilogram,kilograms,NOUN,Technical Term,Unit of mass,68778,r004,False,False,False,False,True
Dexter,Dexter,PROPN,PERSON,A person competing in a race.,78541,r001,False,False,False,False,True
Prexter,Prexter,PROPN,GPE,A person competing in a race against Dexter.,78541,r002,False,False,False,True,True
compete,competing,VERB,,To engage in a contest or rivalry.,78541,r004,False,False,False,True,True
other,other,ADJ,,Different from the one being considered,78541,r016,False,False,False,True,True
friendly,friendly,ADJ,,Characterized by goodnatured rivalry and respect.,78541,r008,False,False,False,False,True
community,community,NOUN,Organization Name,A group of people involved in a competition.,78541,r003,False,False,True,True,True
