word,part_of_speech,category,meaning,question_id, part_of_speech,Category,part_of_practice,example,object,part_of speech
strength,NOUN,Technical Term,capacity to exert force or influence,38,,,,,,
text,NOUN,Technical Term,written or printed communication,38,,,,,,
the United Nations,DET,Organization Name,international organization promoting global cooperation,38,,,,,,
together,ADV,,in a unified or cooperative manner,38,,,,,,
tolerance,NOUN,Technical Term,ability to accept and respect different viewpoints or beliefs,38,,,,,,
unite,VERB,,to bring together into a single unit,38,,,,,,
use,VERB,,to employ for a particular purpose,38,,,,,,
acceptance,NOUN,technical term,agreement to principles,39,,,,,,
advancement,NOUN,technical term,progress in economics or social welfare,39,,,,,,
armed,ADJ,technical term,equipped for military conflict,39,,,,,,
build,VERB,technical term,develop or create economies,39,,,,,,
common,ADJ,technical term,shared by all members of a group,39,,,,,,
conquer,VERB,technical term,overcome or defeat in conflict,39,,,,,,
economic,ADJ,technical term,"relating to the production, distribution, and consumption of goods and services",39,,,,,,
economy,NOUN,technical term,system of managing resources for production and consumption,39,,,,,,
employ,VERB,technical term,utilize or make use of,39,,,,,,
end,NOUN,technical term,target or objective,39,,,,,,
ensure,VERB,Technical Term,Maintenance of global stability,39,,,,,,
explore,VERB,Technical Term,Investigation into areas of potential advancement,39,,,,,,
force,NOUN,Technical Term,Means capable of influencing outcome,39,,,,,,
goal,NOUN,Technical Term,Target to be achieved,39,,,,,,
good,ADJ,Organization Name,Desirable state of being,39,,,,,,
institution,NOUN,Organization Name,Formalized body with defined purpose,39,,,,,,
interest,NOUN,Technical Term,Objective or desire,39,,,,,,
international,ADJ,Organization Name,Scope spanning multiple nations,39,,,,,,
live,VERB,Technical Term,To maintain existence,39,,,,,,
machinery,NOUN,Technical Term,System of tools and processes,39,,,,,,
maintain,VERB,technical term,Ensuring the continuation and stability of peace,39,,,,,,
mention,VERB,technical term,To refer to or allude to something previously stated,39,,,,,,
method,NOUN,technical term,A systematic approach or procedure,39,,,,,,
neighbour,NOUN,individual name,Another person living near you,39,,,,,,
new,ADJ,technical term,Something recently acquired or developed,39,,,,,,
peace,NOUN,technical term,a state of tranquility and harmony,39,,,,,,
people,NOUN,organization name,A collective group of individuals,39,,,,,,
practice,VERB,technical term,To engage in or perform repeatedly for improvement,39,,,,,,
principle,NOUN,technical term,A fundamental truth or belief that guides action,39,,,,,,
promotion,NOUN,technical term,"The advancement of a cause, idea, or person",39,,,,,,
save,VERB, ,Preserve something valuable,39,,,,,,
security,NOUN,Technical Term,Safety and protection from harm,39,,,,,,
social,ADJ,,Related to society and human interaction,39,,,,,,
space,NOUN,Technical Term,The area beyond the Earth's atmosphere,39,,,,,,
strength,NOUN,,Power and ability to accomplish something,39,,,,,,
strong,ADJ,,Powerful and capable,39,,,,,,
territory,NOUN,Technical Term,A defined geographical area controlled by a specific entity,39,,,,,,
text,NOUN,,Written or printed communication,39,,,,,,
together,ADV,,In unity and collaboration,39,,,,,,
tolerance,NOUN,,Acceptance and respect for different beliefs or behaviors,39,,,,,,
unite,VERB,organization name,Join together for a common purpose,39,,,,,,
use,VERB,technical term,Employ for a specific purpose,39,,,,,,
acceptance,NOUN,technical term,Agreement to principles,40,,,,,,
accord,VERB,technical term,To come to an agreement,40,,,,,,
advancement,NOUN,technical term,Progress or development,40,,,,,,
allow,VERB,technical term,Permit,40,,,,,,
armed,ADJ,technical term,Equipped for warfare,40,,,,,,
border,NOUN,technical term,Division between countries,40,,,,,,
common,ADJ,technical term,Shared,40,,,,,,
economic,ADJ,technical term,Related to the economy,40,,,,,,
employ,VERB,technical term,To use,40,,,,,,
end,NOUN,technical term,Purpose or goal,40,,,,,,
ensure,VERB,technical term,Guarantee or establishment of a specified outcome,40,,,,,,
force,NOUN,technical term,The application of physical or military power,40,,,,,,
good,ADJ,broad concept,"Positivity, desirable quality",40,,,,,,
institution,NOUN,technical term,Formal organization or structure with rules and procedures,40,,,,,,
interest,NOUN,broad concept,"Concern, benefit, advantage",40,,,,,,
international,ADJ,technical term,Relating to multiple nations or conducting across borders,40,,,,,,
live,VERB,broad concept,"To exist, inhabit, remain alive",40,,,,,,
machinery,NOUN,technical term,Complex apparatus or system of interconnected parts,40,,,,,,
maintain,VERB,technical term,"To preserve, uphold, or keep in a specific state",40,,,,,,
method,NOUN,technical term,Specific procedure or approach used to achieve a goal,40,,,,,,
national,ADJ,technical term,Sovereignty,40,,,,,,
neighbour,NOUN,individual name,A person living nearby,40,,,,,,
never,ADV,technical term,At no point in time,40,,,,,,
peace,NOUN,higher-level concept,Absence of conflict or war,40,,,,,,
people,NOUN,organization name,Humans as a collective group,40,,,,,,
practice,VERB,technical term,Act of repeatedly doing something to improve skills,40,,,,,,
principle,NOUN,higher-level concept,Fundamental truth or belief that guides actions,40,,,,,,
promotion,NOUN,technical term,Process of increasing status or visibility,40,,,,,,
protect,VERB,technical term,To keep safe from harm,40,,,,,,
save,VERB,higher-level concept,To prevent loss or destruction,40,,,,,,
security,NOUN,technical term,Safety and protection from harm.,40,,,,,,
self-defense,NOUN,technical term,The act of defending oneself from attack.,40,,,,,,
social,ADJ,technical term,Relating to society or human interactions.,40,,,,,,
strength,NOUN,technical term,"The quality of being powerful, vigorous, or resilient.",40,,,,,,
text,NOUN,technical term,Written or printed matter.,40,,,,,,
together,ADV,,In a united or collaborative manner.,40,,,,,,
tolerance,NOUN,technical term,The ability to accept different viewpoints or behaviors without judgment.,40,,,,,,
unite,VERB,,To join together as a single unit.,40,,,,,,
use,"VERB, NOUN",technical term,The act of employing something for a specific purpose.,40,,,,,,
acceptance,NOUN,Higher-Level Concept,"Agreement, Concordance",41,,,,,,
accord,VERB,Higher-Level Concept,"Harmony, Agreement",41,,,,,,
advancement,NOUN,Higher-Level Concept,"Progress, Development",41,,,,,,
armed,ADJ,Technical Term,Equipped for Warfare,41,,,,,,
common,ADJ,Higher-Level Concept,"Shared, Mutual",41,,,,,,
economic,ADJ,Technical Term,Concerning the Economy,41,,,,,,
employ,VERB,Higher-Level Concept,"Utilize, Implement",41,,,,,,
end,NOUN,Higher-Level Concept,"Objective, Goal",41,,,,,,
ensure,VERB,Higher-Level Concept," Guarantee, Secure",41,,,,,,
force,NOUN,Technical Term,"Military Power, Influence",41,,,,,,
good,ADJ,,Positive attribute,41,,,,,,
government,NOUN,Organization Name,System of governance,41,,,,,,
institution,NOUN,Technical Term,Established structure or organization,41,,,,,,
interest,NOUN,Higher-level concept,Motivating factor,41,,,,,,
international,ADJ,,Relating to multiple countries,41,,,,,,
live,VERB,,"Exist, reside",41,,,,,,
local,ADJ,,Within a specific area,41,,,,,,
machinery,NOUN,Technical Term,Complex system or apparatus,41,,,,,,
maintain,VERB,,"Preserve, uphold",41,,,,,,
method,NOUN,Technical Term,Systematic approach,41,,,,,,
military,ADJ,technical term,Armed Forces,41,,,,,,
national,ADJ,technical term,Governmental,41,,,,,,
neighbour,NOUN,individual name,Person living nearby,41,,,,,,
peace,NOUN,technical term,Absence of War,41,,,,,,
people,NOUN,individual name,The General Public,41,,,,,,
policy,NOUN,technical term,Government Decisions,41,,,,,,
principle,NOUN,technical term,Fundamental Idea,41,,,,,,
promotion,NOUN,technical term,Advancement,41,,,,,,
practice,VERB,,,41,,,,,,
save,VERB,,,41,,,,,,
security,NOUN,Technical Term,Protection from harm or threat,41,,,,,,
social,ADJ,Technical Term,Relating to society and human relationships,41,,,,,,
strength,NOUN,Technical Term,"Power, ability, or resilience",41,,,,,,
text,NOUN,Technical Term,Written or printed matter,41,,,,,,
together,ADV,Technical Term,"In a unified manner, collaboratively",41,,,,,,
tolerance,NOUN,Technical Term,Acceptance and respect for differences,41,,,,,,
unite,VERB,Technical Term,To join or combine forces,41,,,,,,
use,VERB,Technical Term,To employ or apply for a purpose,41,,,,,,
acceptance,NOUN,technical term,Agreement to principles,42,,,,,,
advancement,NOUN,technical term,Progress in social or economic development,42,,,,,,
armed,ADJ,technical term,Having weaponry,42,,,,,,
common,ADJ,technical term,Shared or general interest,42,,,,,,
economic,ADJ,technical term,Relating to economic activity and financial matters,42,,,,,,
employ,VERB,technical term,To utilize or put into practice,42,,,,,,
end,NOUN,technical term,Goal or objective,42,,,,,,
ensure,VERB,technical term,To guarantee or make certain,42,,,,,,
force,NOUN,technical term,Military power or compulsion,42,,,,,,
gain,NOUN,technical term,Advantage or benefit,42,,,,,,
good,ADJ,Multiple Possible,Having positive qualities,42,,,,,,
institution,NOUN,Organization Name,A established organization or system,42,,,,,,
interest,NOUN,Multiple Possible,A feeling of concern or involvement,42,,,,,,
international,ADJ,Multiple Possible,Concerning more than one country,42,,,,,,
live,VERB,Multiple Possible,"To exist, sustain life",42,,,,,,
machinery,NOUN,Technical Term,Complex arrangements of parts for a function,42,,,,,,
maintain,VERB,Multiple Possible,Keep something in good condition or existence,42,,,,,,
method,NOUN,Multiple Possible,A way of doing something,42,,,,,,
national,ADJ,Multiple Possible,Concerning a nation or country,42,,,,,,
neighbour,NOUN,Multiple Possible,A person living near another,42,,,,,,
peace,NOUN,technical term,State of tranquility and harmony,42,,,,,,
people,NOUN,organization name,Group of individuals residing together,42,,,,,,
practice,VERB,technical term,Engage in a regular activity or skill,42,,,,,,
principle,NOUN,technical term,Fundamental truth or proposition,42,,,,,,
promotion,NOUN,technical term,"Advancement or encouragement of a cause, idea, or activity",42,,,,,,
save,VERB,technical term,Preserve from harm or loss,42,,,,,,
security,NOUN,technical term,State of being free from danger or threat,42,,,,,,
self-defense,NOUN,technical term,The act of protecting oneself from harm,42,,,,,,
social,ADJ,technical term,Relating to human society or interaction,42,,,,,,
strength,NOUN,technical term,"Quality of being physically, mentally, or morally powerful",42,,,,,,
suggest,VERB,technical term,Recommend or propose a course of action,42,,,,,,
text,NOUN,technical term,Written or printed matter conveying information,42,,,,,,
tolerance,NOUN,organization name,Acceptance of differing views or beliefs,42,,,,,,
unite,VERB,technical term,To combine or join together,42,,,,,,
use,VERB,technical term,To employ or apply for a purpose,42,,,,,,
together,ADV,organization name,Cooperation and unity for a shared goal,42,,,,,,
acceptance,NOUN,higher-level concept,Agreement or consent to ideas or principles.,43,,,,,,
advancement,NOUN,technical term,"Progress or improvement in various fields, like technology or society.",43,,,,,,
armed,ADJ,technical term,Equipped with weapons.,43,,,,,,
community,NOUN,organization name,"A group of people living in the same place or having a shared interest, bound by common ties.",43,,,,,,
dialogue,NOUN,higher-level concept,Conversation or discussion between two or more parties.,43,,,,,,
economic,ADJ,technical term,"Relating to the production, distribution, and consumption of goods and services.",43,,,,,,
employ,VERB,higher-level concept,"To utilize or make use of resources, abilities, or tools.",43,,,,,,
build,VERB,technical term,Construction,43,,,,,,
common,ADJ,organization name,"Shared by or belonging to every person, part of a group, etc.",43,,,,,,
do,VERB,individual name,To perform an action,43,,,,,,
encourage,VERB,Technical Term,Promote peaceful co-existence,43,,,,,,
end,NOUN,Organization Name,Goal of international peace,43,,,,,,
engage,VERB,Technical Term,Participate in dialogue and cooperation,43,,,,,,
ensure,VERB,Technical Term,Guarantee international security and stability,43,,,,,,
force,NOUN,Technical Term,Military power employed sparingly,43,,,,,,
good,ADJ,,Positive attribute of relationships,43,,,,,,
institution,NOUN,Organization Name,Global framework for peace and security,43,,,,,,
interest,NOUN,,Shared goals for international cooperation,43,,,,,,
international,ADJ,Technical Term,Scope of global collaboration,43,,,,,,
live,VERB,Technical Term,Coexist harmoniously,43,,,,,,
machinery,NOUN,technical term,"Tools for accomplishing tasks, processes",43,,,,,,
maintain,VERB,,"Preserve, uphold, or keep something in a certain state",43,,,,,,
method,NOUN,technical term,Procedure or way of doing something,43,,,,,,
neighbor,NOUN,,Person living near another,43,,,,,,
neighbour,NOUN,,Person living near another,43,,,,,,
order,NOUN,,"Arrangement, regulation, or set of rules",43,,,,,,
peace,NOUN,,"State of tranquility, absence of conflict or disturbance",43,,,,,,
people,NOUN,,Human beings collectively,43,,,,,,
practice,VERB,,"To carry out or perform repeatedly, to engage in habitually",43,,,,,,
principle,NOUN,technical term,Fundamental truth or proposition that serves as the basis for something else,43,,,,,,
promotion,NOUN,technical term,Encouraging progress or advancement,43,,,,,,
save,VERB,technical term,To preserve or protect something valuable,43,,,,,,
security,NOUN,technical term,Ensuring safety and well-being,43,,,,,,
social,ADJ,organization name,Relating to human interaction and relationships,43,,,,,,
strength,NOUN,technical term,Power or ability to withstand challenges,43,,,,,,
strong,ADJ,technical term,"Possessing power, resilience, or ability",43,,,,,,
text,NOUN,organization name,written or printed language used for communication,43,,,,,,
together,ADV,technical term,In a unified or cooperative manner,43,,,,,,
tolerance,NOUN,technical term,Acceptance of different viewpoints or beliefs,43,,,,,,
unite,VERB,technical term,To join together as one unit,43,,,,,,
use,VERB,,,43,,,,,,
AIMS,PROPN,organization name,Goals,44,,,,,,
Charter,PROPN,technical term,"Agreement, Constitution",44,,,,The text refers to a Charter of the United Nations.,,
San Francisco,PROPN,GPE,Location,44,,,,Meetings took place in the city of San Francisco.,,
accomplish,VERB,,"Achieve, Complete",44,,,,The governments aimed to accomplish these aims.,,
accord,VERB,,"Agree, Consent",44,,,,This relates to the agreement expressed in the Charter.,,
accordingly,ADV,,"Consequentially, Therefore",44,,,,The governments acted accordingly to their agreed upon stipulations.,,
agree,VERB,,Come to an Understanding,44,,,,Governments agreed to the Charter of the United Nations.,,
assemble,VERB,,"Gather, Meet",44,,,,Representatives assembled in San Francisco for the meeting.,,
build,VERB,,"Create, Construct",44,,,,,,
city,NOUN,,Urban Area,44,,,,The meeting took place in San Francisco.,,
combine,VERB,technical term,Collaboration,44,,,,,,
declare,VERB,organization name,Formal announcement or action by a government or organization,44,,,,,,
do,VERB,technical term,To take action,44,,,,,,
due,ADJ,technical term,Necessary or proper,44,,,,,,
effort,NOUN,technical term,Work or exertion towards a goal.,44,,,,,,
efforts,NOUN,technical term,Multiple or combined acts of work ,44,,,,,,
establish,VERB,technical term,To set up or officially create,44,,,,,,
exhibit,VERB,technical term, To display or showcase.,44,,,,,,
find,VERB,technical term,To discover or locate.,44,,,,,,
form,NOUN,technical term,"Shape, structure, or composition.",44,,,,,,
full,ADJ,,complete,44,,,,,,
good,ADJ,,"satisfactory, positive",44,,,,,,
government,NOUN,organization name,political authority,44,,,,,,
hereby,ADV,,"as a result of this, by this act",44,,,,,,
international,ADJ,,involving multiple countries,44,,,,,,
know,VERB,,have understanding of,44,,,,,,
law,NOUN,technical term,"rule, regulation",44,,,,,,
new,ADJ,,"recent, not before encountered",44,,,,,,
organization,NOUN,organization name,group with common purpose,44,,,,,,
power,NOUN,,"ability, control",44,,,,,,
present,ADJ,Conceptual,"Existence, actuality",44,,,,,,
representative,NOUN,Individual Name,Person acting on behalf of others,44,,,,,,
resolve,VERB,Conceptual,To make a firm decision,44,,,,,,
respective,ADJ,Conceptual,Belonging to each separately,44,,,,,,
text,NOUN,Technical Term,Written or printed communication,44,,,,,,
the United Nations,DET,Organization Name,Global international organization,44,,,,,,
war,NOUN,Conceptual,Armed conflict between nations,44,,,,,,
write,VERB,Conceptual,To put words on paper or electronically,44,,,,,,
AIMS,PROPN,Organization Name,Goals or objectives,45,,,,,,
Charter,PROPN,Technical Term,A legal document outlining the principles and structure of United Nations,45,,,,,,
D.C.,PROPN,GPE,"District of Columbia, location in USA",45,,,,,,
London,PROPN,GPE,Capital city of the United Kingdom,45,,,,,,
New York,PROPN,GPE,"City in USA, location of UN Headquarters",45,,,,,,
San Francisco,PROPN,GPE,"City in California, USA, where the Charter was established",45,,,,,,
Washington,PROPN,GPE,Capital city of the USA,45,,,,,,
accomplish,VERB,Technical Term,To achieve or fulfill goals,45,,,,,,
accordingly,ADV,,As a result; consequently,45,,,,,,
agree,VERB,Technical Term,To consent to and come to an understanding about something,45,,,,,,
assemble,VERB,organization name,Gathering of individuals for a common purpose,45,,,,,,
city,NOUN,organization name,Place where people live and work together,45,,,,,,
combine,VERB,technical term,Bringing together elements to form a unified whole,45,,,,,,
due,ADJ,organization name,Appropriate or proper in accordance with established rules or regulations,45,,,,,,
efforts,NOUN,organization name,Collaborative action taken towards a shared goal,45,,,,,,
establish,VERB,technical term,Formally create or institute something durable,45,,,,,,
exhibit,VERB,organization name,Display or present something for public viewing,45,,,,,,
find,VERB,technical term,Locate or discover something,45,,,,,,
form,NOUN,technical term,Shape or structure that something assumes,45,,,,,,
full,ADJ,technical term,Complete or whole,45,,,,,,
good,ADJ,,Positive attribute,45,,,,,,
government,NOUN,Organization Name,Political Authority,45,,,,,,
hereby,ADV,,Action of Establishing,45,,,,,,
international,ADJ,,Global Scope,45,,,,,,
organization,NOUN,Organization Name,Group with a Purpose,45,,,,,,
power,NOUN,,"Capability, Authority",45,,,,,,
present,ADJ,,Existing,45,,,,,,
representative,NOUN,,Representative of a Group,45,,,,,,
resolve,VERB,,make a decision,45,,,,,,
know,VERB,technical term,To possess or understand a concept,45,,,,,,
respective,ADJ,ORGANIZATION_NAME,Belonging to each individual or group involved,45,,,,,,
AIMS,PROPN,Goal,Aspirations or objectives.,46,,,,,,
Charter,PROPN,Document,A formal written agreement or set of principles.,46,,,,,,
San Francisco,PROPN,GPE,A location.,46,,,,,,
accomplish,VERB,Action,To achieve or fulfill.,46,,,,,,
accord,VERB,Agreement,To agree upon something.,46,,,,,,
accordingly,ADV,Adverbial,In a manner consistent with what has been said or done.,46,,,,,,
agree,VERB,Agreement,To have the same opinion or to reach a consensus.,46,,,,,,
assemble,VERB,Action,To gather or come together for a common purpose.,46,,,,,,
city,NOUN,Location,An urban area with a defined population and administrative boundaries.,46,,,,,,
combine,VERB,Action,To join or merge together into one unit.,46,,,,,,
court,NOUN,Organization Name,Legal System,46,,,,,,
due,ADJ,,Proper,46,,,,,,
efforts,NOUN,,Collective Action,46,,,,,,
establish,VERB,,Founding,46,,,,,,
exhibit,VERB,,Demonstration,46,,,,,,
find,VERB,,Discover,46,,,,,,
form,NOUN,Organization Name,Structure,46,,,,,,
full,ADJ,,Complete,46,,,,,,
good,ADJ,,Positive,46,,,,,,
government,NOUN,Organization Name,Political System,46,,,,,,
hereby,ADV,Technical Term,Action/Procedure,46,,,,,,
international,ADJ,Technical Term,"Interconnectedness, Global Scope",46,,,,,,
organization,NOUN,Organization Name,"Formal Structure, Group Cooperation",46,,,,,,
peace,NOUN,Higher-Level Concept,"Tranquility, Harmony",46,,,,,,
power,NOUN,Higher-Level Concept,"Influence, Capability",46,,,,,,
representative,NOUN,Individual Name,"Delegate, Spokesperson",46,,,,,,
know,VERB,,,46,,,,,,
new,ADJ,,,46,,,,,,
present,ADJ,,,46,,,,,,
resolve,VERB,,,46,,,,,,
respective,ADJ,Technical Term,Belonging to each individual or group,46,,,,,,
text,NOUN,Technical Term,A written or printed work,46,,,,,,
the United Nations,DET,Organization Name,An international organization,46,,,,,,
treaty,NOUN,Technical Term,A formal agreement between two or more countries,46,,,,,,
Purposes,PROPN,Organization Name,International,47,,,,,,
accord,VERB,,"Agree upon, establish",47,,,,,,
achieve,VERB,,"Attain, accomplish",47,,,,,,
act,NOUN,,Performance,47,,,,,,
action,NOUN,,"Movement, deed",47,,,,,,
adjustment,NOUN,,"Modification, alteration",47,,,,,,
1.To,NOUN,CARDINAL,,47,,,,,,
aggression,NOUN,technical term,acts of hostility,47,,,,,,
appropriate,ADJ,technical term,suitable for a particular situation or purpose,47,,,,,,
attainment,NOUN,technical term,achievement of a desired outcome,47,,,,,,
breach,NOUN,technical term,violation of a law or agreement,47,,,,,,
centre,NOUN,technical term,central location or focus,47,,,,,,
co-operation,NOUN,technical term,working together to achieve a common goal,47,,,,,,
collective,ADJ,technical term,involving or done by more than one person,47,,,,,,
base,VERB,,,47,,,,,,
bring,VERB,,,47,,,,,,
character,NOUN,,,47,,,,,,
common,ADJ,higher-level concept,frequent occurrence,47,,,,,,
conformity,NOUN,higher-level concept,agreement or compliance,47,,,,,,
control,VERB,higher-level concept,to exert authority over,47,,,,,,
create,VERB,higher-level concept,to bring into existence,47,,,,,,
cultural,ADJ,higher-level concept,"relating to the beliefs, values, and customs of a society",47,,,,,,
develop,VERB,higher-level concept,to expand or advance,47,,,,,,
dispute,NOUN,technical term,a disagreement or argument,47,,,,,,
distinction,NOUN,higher-level concept,the act of recognizing a difference,47,,,,,,
economic,ADJ,higher-level concept,"relating to trade, industry, and the management of money",47,,,,,,
effective,ADJ,higher-level concept,able to produce a desired result,47,,,,,,
encouraging,ADJ,Technical Term,positive reinforcement,47,,,,,,
end,NOUN,Organization Name,"goal, objective",47,,,,,,
equal,ADJ,Technical Term,"fair, just",47,,,,,,
freedom,NOUN,Technical Term,"liberty, independence",47,,,,,,
friendly,ADJ,Technical Term,"welcoming, amicable",47,,,,,,
fundamental,ADJ,Technical Term,"essential, foundational",47,,,,,,
global,ADJ,Technical Term,"worldwide, international",47,,,,,,
government,NOUN,Organization Name,political administration,47,,,,,,
harmonize,VERB,Technical Term,"synchronize, align",47,,,,,,
human,ADJ,Technical Term,relating to people,47,,,,,,
humanitarian,ADJ,technical term,Aiding people in need,47,,,,,,
international,ADJ,technical term, relazioni tra nazioni,47,,,,,,
justice,NOUN,higher-level concept,Fairness and righteousness,47,,,,,,
language,NOUN,technical term,A system of communication,47,,,,,,
law,NOUN,technical term,Formal rules governing society,47,,,,,,
lead,VERB,higher-level concept,Guide or direct,47,,,,,,
main,ADJ,higher-level concept,Most important,47,,,,,,
maintain,VERB,higher-level concept,Preserve or support,47,,,,,,
mean,NOUN,higher-level concept,Average or intended purpose,47,,,,,,
measure,NOUN,technical term,Assessment or quantitation,47,,,,,,
nation,NOUN,organization name,A country or a state.,47,,,,,,
national,ADJ,technical term,relating to a nation or belonging to a particular country.,47,,,,,,
peace,NOUN,higher-level concept,Freedom from disturbance; tranquility.,47,,,,,,
people,NOUN,organization name,Human beings collectively; a group of individuals (can also be specific).,47,,,,,,
prevention,NOUN,technical term,The action of stopping something from happening.,47,,,,,,
principle,NOUN,higher-level concept,A fundamental truth or belief that guides conduct and thought.,47,,,,,,
problem,NOUN,higher-level concept,A question or situation presenting a difficulty to be overcome.,47,,,,,,
new,ADJ,Technical Term,Innovative technology or processes,47,,,,,,
other,ADJ,,Alternative options or different categories,47,,,,,,
peaceful,ADJ,Technical Term,Absence of conflict or aggression; harmonious relations,47,,,,,,
promote,VERB,Technical Term,to advance or foster a cause or objective,47,,,,,,
purpose,NOUN,Technical Term,goal or intention,47,,,,,,
race,NOUN,Technical Term,competitive contest,47,,,,,,
relation,NOUN,Technical Term,connection or association,47,,,,,,
religion,NOUN,Organization Name,belief system and practices regarding the sacred,47,,,,,,
removal,NOUN,Technical Term,act of taking away or removing something,47,,,,,,
respect,NOUN,Technical Term,"consideration for the thoughts, feelings, and opinions of others",47,,,,,,
right,NOUN,Technical Term,legal or moral entitlement,47,,,,,,
security,NOUN,Technical Term,state of being protected from harm or danger,47,,,,,,
self-determination,NOUN,Organization Name,right of a people to govern themselves independently,47,,,,,,
settlement,NOUN,organization name,agreement or compromise,47,,,,,,
sex,NOUN,technical term,biological distinction,47,,,,,,
situation,NOUN,multiple possible,"state of affairs, condition",47,,,,,,
social,ADJ,technical term,relating to human interaction and organization,47,,,,,,
solve,VERB,multiple possible,"find a solution, address an issue",47,,,,,,
strengthen,VERB,multiple possible,"make more powerful, reinforce",47,,,,,,
suppression,NOUN,social concept,act of stifling or constraining,47,,,,,,
take,VERB,multiple possible,"perform an action, acquire",47,,,,,,
technology,NOUN,technical term,application of scientific knowledge for practical purposes,47,,,,,,
text,NOUN,multiple possible,"written or printed matter, communication",47,,,,,,
threat,NOUN,technical term,The risk or potential danger of causing harm or disruption,47,,,,,,
trade,NOUN,technical term,"The exchange of goods and services between individuals, organizations, or nations.",47,,,,,,
universal,ADJ,technical term,Applicable to all people or things without exception,47,,,,,,
Purposes,NOUN,organization name,Goals or Aims of an Organization,48,,,,,,
achieve,VERB,technical term,To Reach a Goal,48,,,,,,
act,NOUN,technical term,to perform an action,48,,,,,,
action,NOUN,technical term,Specific Deed or Performance,48,,,,,,
adjustment,NOUN,technical term,Modification or Adaptation,48,,,,,,
aggression,NOUN,technical term,Hostile or Violent Action,48,,,,,,
agreement,NOUN,technical term,"accord, negotiation",48,,,,,,
aim,VERB,technical term,"objective, goal",48,,,,,,
appropriate,ADJ,technical term,"suitable, relevant",48,,,,,,
attainment,NOUN,technical term,"achievement, accomplishment",48,,,,,,
base,VERB,technical term,"groundwork, foundation",48,,,,,,
breach,NOUN,technical term,"violation, infringement",48,,,,,,
bring,VERB,technical term,"effect, achieve",48,,,,,,
centre,NOUN,technical term,"focal point, hub",48,,,,,,
character,NOUN,technical term,"nature, defining trait",48,,,,,,
co-operation,NOUN,technical term,"collaboration, working together",48,,,,,,
collective,ADJ,technical term,concerning a group of people acting together,48,,,,,,
common,ADJ,technical term,shared by many or general to a large group,48,,,,,,
conformity,NOUN,social concept,"agreement, compliance with standards",48,,,,,,
cultural,ADJ,technical term,relating to the arts and other manifestations of human intellectual achievement,48,,,,,,
develop,VERB,social concept,"to grow, progress, or advance",48,,,,,,
dispute,NOUN,social concept,argument or disagreement,48,,,,,,
distinction,NOUN,technical term,"difference in status, appearance, or meaning",48,,,,,,
economic,ADJ,technical term,"relating to trade, industry, and the production of goods",48,,,,,,
effective,ADJ,technical term,producing a desired result or effect,48,,,,,,
encouraging,ADJ,social concept,promoting or supporting positive development,48,,,,,,
end,NOUN,technical term,The conclusion or termination of a process,48,,,,,,
enforce,VERB,technical term,To compel obedience to rules or laws,48,,,,,,
equal,ADJ,technical term,"Possessing the same value, amount, or characteristics",48,,,,,,
freedom,NOUN,Abstract Concept,The state of being free from restrictions or constraints,48,,,,,,
friendly,ADJ,Abstract Concept,Characterized by goodwill and warmth,48,,,,,,
fundamental,ADJ,Abstract Concept,Serving as a foundation or core principle,48,,,,,,
harmonize,VERB,technical term,To achieve agreement or compatibility,48,,,,,,
human,ADJ,Abstract Concept,Relating to humankind or the human condition,48,,,,,,
humanitarian,ADJ,Abstract Concept,Concerned with improving human welfare and alleviating suffering,48,,,,,,
increase,VERB,technical term,"To make larger or greater in size, amount, or degree",48,,,,,,
international,ADJ,technical term,relations between nations,48,,,,,,
justice,NOUN,technical term,fairness and righteousness in dealing with others,48,,,,,,
language,NOUN,technical term,a system of communication,48,,,,,,
law,NOUN,technical term,a system of rules enforced by a state or authority,48,,,,,,
military,ADJ,technical term,related to armed forces,48,,,,,,
nation,NOUN,organization name,a group of people united by a common culture and territory,48,,,,,,
lead,VERB,,,48,,,,,,
maintain,VERB,,,48,,,,,,
mean,NOUN,,,48,,,,,,
measure,NOUN,,,48,,,,,,
peace,NOUN,technical term,"Harmony, tranquility",48,,,,,,
peaceful,ADJ,technical term,"Non-violent, serene",48,,,,,,
presence,NOUN,technical term,Physical location or influence,48,,,,,,
prevention,NOUN,technical term,"Preclusion of occurrence, avoidance",48,,,,,,
principle,NOUN,technical term,Fundamental rule or truth,48,,,,,,
problem,NOUN,high-level concept,Issue or difficulty requiring resolution,48,,,,,,
promote,VERB,action,Encourage or advance,48,,,,,,
race,NOUN,high-level concept,"Competition, rivalry",48,,,,,,
other,ADJ,technical term,words designating concepts beyond immediate physical experience,48,,,,,,
people,NOUN,individual name,human beings considered as a group,48,,,,,,
relation,NOUN,technical term,Connections between entities,48,,,,,,
religion,NOUN,technical term,System of faith and beliefs,48,,,,,,
removal,NOUN,technical term,Action of taking something away,48,,,,,,
respect,"NOUN, VERB",technical term,Appreciation and regard for someone or something,48,,,,,,
right,NOUN,technical term,Moral entitlement or justified claim,48,,,,,,
sanction,NOUN,technical term,Penalty imposed as a consequence of unwanted behavior,48,,,,,,
security,NOUN,technical term,Safety and protection from harm,48,,,,,,
self-determination,NOUN,technical term,Right of a person or group to determine their own future,48,,,,,,
settlement,NOUN,technical term,Agreement resolving a dispute or conflict,48,,,,,,
