lemma,word,part_of_speech,category,meaning,question_id,code,p_0_masked,p_5_masked,p_10_masked,p_15_masked,p_20_masked,p_25_masked,p_30_masked,p_35_masked,p_40_masked,p_45_masked,p_50_masked,p_55_masked,p_60_masked,p_65_masked,p_70_masked,p_75_masked,p_80_masked,p_85_masked,p_90_masked,p_95_masked,p_100_masked
/,/,PROPN,mathematical operator,Division operation.,42761,r001,False,False,False,False,True,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True
y,y,PROPN,Technical Term,Represents an even integer,42761,r023,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,True,True,True,False,True
Odd,Odd,PROPN,technical term,A non-even number.,42761,r010,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True
even,Even,ADV,Technical Term,Whole number divisible by two,42761,r016,False,False,False,True,False,True,False,False,True,False,True,False,True,True,True,True,True,True,True,True,True
never,NEVER,ADV,,At no time or occasion,42761,r020,False,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,True,True,False,True,True
Integer,Integer,PROPN,technical term,A whole number (positive or negative) excluding fractions and decimals.,42761,r009,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,True,True,True,True,True,True
Hence,Hence,PROPN,technical term,Therefore; as a result.,42761,r007,False,False,False,False,False,True,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True
Correct,Correct,PROPN,technical term,Being right or accurate according to given criteria.,42761,r006,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True
Option,Option,PROPN,Organization Name,Choice or possibility,42761,r011,False,False,False,False,True,True,True,False,False,True,True,True,True,False,False,False,False,True,True,True,True
answer,Answer,NOUN,Technical Term,The correct solution or result,42761,r013,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,False,True,False,True,True
b,B,NOUN,,An option is selected.,42761,r014,False,False,False,False,False,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True
approx,approx,PROPN,Technical Term,Approximation Method,45337,r005,False,False,True,True,False,False,False,False,False,True,False,True,True,True,False,False,True,True,True,True,True
answer,Answer,NOUN,,Solution or Outcome,45337,r004,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,True,True,True
x,x,PROPN,technical term,Unknown quantity,8200,r013,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,True,False,True,True,True
=,=,VERB,Technical Term,Comparison Operator,8200,r001,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,True,True,True,True
=,=,NOUN,Technical Term,Comparison Operator,8200,r001,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,True,True,True,True
x+4x,x+4x,PROPN,technical term,Algebraic expression,8200,r014,False,False,True,False,True,False,False,True,True,False,False,False,True,True,True,False,True,True,False,True,True
ANSWER:D,ANSWER:D,PROPN,ORG,Answer Identifier (likely a test or assignment),8200,r002,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True,True,True,True
x$,x$,NUM,PERSON,Unknown variable,15831,r010,False,False,False,False,False,False,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True
number,number,NOUN,Technical Term,Quantitative value,15831,r008,False,False,False,False,False,False,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True
number,number,NOUN,Number,Quantitative value,15831,r008,False,False,False,False,False,False,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True
=,=,NOUN,Technical Term,Equation equality,15831,r002,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,True,True,True
=,=,NOUN,Technical Term,Equal to,15831,r002,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,True,True,True
=,=,NOUN,Technical Term,Equal to,15831,r002,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,True,True,True
e,E,NOUN,Organization Name,Example,15831,r005,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True,True,True,True,False,True,True
let,let,VERB,Technical Term,To define a variable,13263,r019,False,False,True,False,False,False,True,False,True,False,False,True,True,True,True,False,False,True,True,True,True
Lucy,Lucy,PROPN,PERSON,"A person's name, potentially a participant in an age comparison",13263,r005,False,False,False,False,True,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True
age,age,NOUN,Concept,The measurement of time elapsed since birth or a specific event,13263,r010,False,False,False,False,False,True,False,True,False,True,True,False,True,True,True,False,False,True,True,False,True
L,L,PROPN,Individual Name,Sam's age,13263,r002,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,True,True,True,True
L,L,PROPN,individual name,"person's name, age variable",13263,r002,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,True,True,True,True
sam,sam,PROPN,PERSON,,13263,r023,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True
age,age,NOUN,Concept,The measurement of time elapsed since birth or a specific event,13263,r010,False,False,False,False,False,True,False,True,False,True,True,False,True,True,True,False,False,True,True,False,True
S,S,PROPN,Individual Name,Sam's age,13263,r006,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,True,True,False,True,True,True
give,given,VERB,Technical Term,To provide information or an object,13263,r017,False,False,False,False,False,True,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True
L-S,L-S,PROPN,Individual Name,Represents the difference between L and S,13263,r004,False,False,False,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True
L+S,L+S,ADJ,Technical Term,"Represents the sum of L and S, likely ages",13263,r003,False,False,False,True,False,False,False,True,False,False,True,True,True,False,True,True,True,True,True,True,True
x,x,NOUN,technical term,"A variable representing an unknown quantity, often used to denote the sum of two values.",13263,r026,False,False,False,False,False,False,True,True,True,True,True,False,True,True,True,False,False,False,True,True,True
--2,--2,ADJ,Technical Term,Represents an equation or formula,13263,r001,False,False,False,False,False,True,False,False,True,False,True,True,False,True,True,True,True,True,True,True,True
add,adding,VERB,Action,"To combine or accumulate values, as in summing ages",13263,r009,False,False,False,True,False,False,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True
equation,equations,NOUN,Technical Term,,13263,r015,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,True,True,True,True
a+z,a+z,PROPN,Technical Term,Likely represents a calculated value or sum within the context of ages,13263,r008,False,True,False,False,False,True,True,False,False,True,False,False,False,True,True,True,True,False,True,True,True
d,D,NOUN,Individual Name,Given name,13263,r013,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,True,True,True,True,True
only,only,ADV,,Solely or exclusively,92826,r018,False,False,False,False,False,True,False,True,False,True,True,False,True,True,False,True,False,True,True,True,True
need,need,VERB,,Requirement or necessity,92826,r017,False,False,False,False,False,True,True,True,True,True,True,True,False,True,False,False,False,True,True,True,True
length,length,NOUN,,Linear extent or measurement,92826,r014,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True
slow,slower,ADJ,Individual name,Moving or operating at a rate that is faster than very slow but slower than normal.,92826,r028,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True
train,train,NOUN,Technical Term,Mode of transportation on rails,92826,r034,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True
L=500m,L=500m,PROPN,PERSON,"Represents a specific individual (e.g., a person, entity) with specified measurement.",92826,r007,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,True,True,True
relative,relative,ADJ,Technical term,Expressing a relationship between things in comparison to each other,92826,r022,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,True,True,True
speed,sped,VERB,Technical term,The rate at which something moves or operates.,92826,r030,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,True,False,True,True
opposite,opposite,ADJ,,Facing in contrary directions,92826,r019,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,True
direction,direction,NOUN,Technical Term,Describes the spatial orientation or path of movement,92826,r009,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False,True,True,True,True,True
s=45,s=45,PROPN,Technical term,An equation representing the value of the variable 's' as 45.,92826,r026,False,False,False,True,True,False,False,True,True,True,False,False,True,False,False,False,True,True,True,True,True
+,+,NOUN,,Indicates addition or combination of values,92826,r002,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True
m,m,PROPN,Technical Term,Meter - Unit of measurement,92826,r016,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,True,True,True
s,s,PROPN,Individual name,A variable or symbol representing a value or quantity.,92826,r025,False,True,False,False,False,False,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True
time,time,NOUN,Technical Term,Duration of an event,92826,r032,False,False,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,False,True,True,True
=,=,NOUN,,Represents equality or comparison of values,92826,r004,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True
dist,dist,NOUN,Technical Term,"Short for distance, a measure of physical extent",92826,r010,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,True
speed,speed,NOUN,Technical term,The rate at which something moves or operates.,92826,r030,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,True,False,True,True
*,*,PROPN,Individual Name,Represents a specific individual,92826,r001,False,False,False,False,False,False,True,False,True,True,True,True,False,False,True,True,False,True,False,False,True
6)/125=24,6)/125=24,NOUN,,,92826,r003,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,True,True,True,True
sec,sec,PROPN,ORG,A unit of time equal to 1/60th of a minute.,92826,r027,False,False,True,False,False,False,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True
ANSWER,ANSWER,PROPN,ORG,Refers to the designated solution or response,92826,r006,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True
b,B,NOUN,,,92826,r008,False,False,False,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True
=,=,NOUN,SYMBOL,Equality operation,1901,r002,False,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,True,True,True,True,True
answer,Answer,NOUN,INDIVIDUAL NAME,Response,1901,r005,False,False,False,False,False,False,False,True,True,False,True,False,True,True,True,False,True,False,True,True,True
b,B,NOUN,INDIVIDUAL NAME,Designation,1901,r006,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True,True,True
explanation,Explanation,NOUN,Technical Term,"Account, Clarification",26895,r017,False,False,False,False,False,False,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True
solution,Solution,NOUN,Technical Term,A process or method used to solve a problem,26895,r031,False,False,False,True,False,False,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True
remain,Remaining,VERB,technical term,"carry over, persist throughout the time frame",26895,r029,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,True,True,True,True,True
work,work,NOUN,Technical Term,A task or activity undertaken to achieve a specific objective,26895,r034,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,True,True,True,False,True,True
=,=,NOUN,Technical Term,Equality Sign,26895,r004,False,False,True,False,False,False,False,True,True,False,True,False,False,False,True,True,True,True,True,False,True
=,=,VERB,Technical Term,Equality Sign,26895,r004,False,False,True,False,False,False,False,True,True,False,True,False,False,False,True,True,True,True,True,False,True
remain,remaining,VERB,technical term,"carry over, persist throughout the time frame",26895,r029,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,True,True,True,True,True
period,period,NOUN,technical term,duration of time allocated for task completion,26895,r027,False,False,False,False,False,False,True,True,True,True,False,True,False,False,False,True,True,True,True,True,True
let,Let,VERB,technical term,"assigning value to a variable, starting point",26895,r022,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,True
total,total,ADJ,,Complete or entire,26895,r033,False,False,True,False,True,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True
man,men,NOUN,individual name,"male person, worker assigned to task",26895,r023,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True
work,working,VERB,Technical Term,A task or activity undertaken to achieve a specific objective,26895,r034,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,True,True,True,False,True,True
x.,x.,PROPN,,A placeholder indicating the name or identifier of a specific entity,26895,r036,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True
Less,Less,ADJ,Technical Term,Comparative adjective indicating a smaller amount,26895,r008,False,True,False,False,False,False,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True
work,work,NOUN,Technical Term,A task or activity undertaken to achieve a specific objective,26895,r034,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,True,True,True,False,True,True
less,less,ADJ,technical term,comparison for quantities,26895,r021,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,False,True,True,True
man,men,NOUN,individual name,"male person, worker assigned to task",26895,r023,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True
direct,Direct,ADJ,,"Immediate, Straightforward",26895,r015,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True
proportion,proportion,NOUN,technical term,"ratio,  comparison of quantities in relation to each other",26895,r028,False,False,False,False,False,False,False,True,True,False,False,True,False,True,True,True,True,True,True,True,True
more,more,ADJ,technical term,increase in size or amount,26895,r025,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,True,True,True
man,men,NOUN,individual name,"male person, worker assigned to task",26895,r023,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True
indirect,Indirect,ADJ,,"Circuitous, Implied",26895,r020,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True
proportion,proportion,NOUN,technical term,"ratio,  comparison of quantities in relation to each other",26895,r028,False,False,False,False,False,False,False,True,True,False,False,True,False,True,True,True,True,True,True,True,True
more,More,ADV,technical term,increase in size or amount,26895,r025,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,True,True,True
hrs,hrs,ADJ,,Hours,26895,r019,False,False,False,False,True,True,True,True,False,False,False,True,True,True,False,True,False,True,True,True,True
day,day,NOUN,,Time Period,26895,r014,False,False,False,False,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True
less,less,ADJ,technical term,comparison for quantities,26895,r021,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,False,True,True,True
man,men,NOUN,individual name,"male person, worker assigned to task",26895,r023,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True
indirect,Indirect,ADJ,,"Circuitous, Implied",26895,r020,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True
proportion,proportion,NOUN,technical term,"ratio,  comparison of quantities in relation to each other",26895,r028,False,False,False,False,False,False,False,True,True,False,False,True,False,True,True,True,True,True,True,True,True
work,work,VERB,Technical Term,A task or activity undertaken to achieve a specific objective,26895,r034,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,True,True,True,False,True,True
Hrs,Hrs,PROPN,Technical Term,Abbreviation for hours,26895,r007,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,True
Day,Day,PROPN,Technical Term,Unit of time,26895,r006,False,False,False,True,False,True,True,True,False,False,True,False,True,False,True,False,True,False,False,True,True
*,*,PROPN,Individual Name,Unknown person,26895,r001,False,False,True,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True
x,x,NOUN,,An unknown variable representing a quantity or number,26895,r035,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True
=,=,NOUN,Technical Term,Equality Sign,26895,r004,False,False,True,False,False,False,False,True,True,False,True,False,False,False,True,True,True,True,True,False,True
=,=,NOUN,Technical Term,Equality Sign,26895,r004,False,False,True,False,False,False,False,True,True,False,True,False,False,False,True,True,True,True,True,False,True
additional,Additional,ADJ,Technical Term,Quantity added to something existing,26895,r009,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,True,True,True,True,True,True
man,men,NOUN,individual name,"male person, worker assigned to task",26895,r023,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True
employ,employed,VERB,,"Hire, Use",26895,r016,False,False,False,True,True,True,True,False,False,True,False,True,False,True,True,True,True,True,True,True,True
=,=,NOUN,Technical Term,Equality Sign,26895,r004,False,False,True,False,False,False,False,True,True,False,True,False,False,False,True,True,True,True,True,False,True
answer,Answer,NOUN,Technical Term,Solution or resolution,26895,r010,False,False,False,False,False,True,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True
c,C,NOUN,Organization Name,"Answer, Solution",26895,r011,False,False,False,True,False,True,False,True,True,False,False,True,False,False,True,True,True,True,True,True,True
Jill,Jill,PROPN,PERSON,Individual's Name,56787,r006,False,False,False,True,False,False,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True
earn,earns,VERB,,To receive compensation or acquire something through effort.,56787,r014,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True
hour,hour,NOUN,TIME,A unit of time equal to 60 minutes.,56787,r015,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,True,True,True,True
hourly,hourly,ADJ,TIME,Occurring or repeated every hour.,56787,r016,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,True,True,True,True
tip,tip,NOUN,technical term,additional payment,56787,r026,False,False,False,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True
Jill,Jill,PROPN,PERSON,Individual's Name,56787,r006,False,False,False,True,False,False,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True
thus,thus,ADV,,,56787,r025,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True
earn,earns,VERB,,To receive compensation or acquire something through effort.,56787,r014,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True
4(8)+6(8)=10(8)=80,4(8)+6(8)=10(8)=80,NOUN,EXPRESSION,Mathematical Expression Representing Income Calculation,56787,r002,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,False,False,True,True,True
Jill,Jill,PROPN,PERSON,Individual's Name,56787,r006,False,False,False,True,False,False,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True
work,worked,VERB,,,56787,r029,False,False,False,False,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True
match,matches,NOUN,Action,To correspond or agree with something else.,56787,r018,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,False,True,True
answer,answer,VERB,CONCEPT,Solution or Response provided,56787,r007,False,False,True,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True
choice,choice,NOUN,CONCEPT,Selection Among Options,56787,r009,False,False,False,False,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True,True
C.,C.,PROPN,NORP,Abbreviation Representing a Choice,56787,r005,False,False,False,False,True,False,True,False,False,True,False,True,False,True,True,True,True,True,True,True,True
explanation,Explanation,NOUN,technical term,Definition,29285,r005,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,True,True,False,True,True
boy,boy,NOUN,individual name,Child,29285,r002,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True
select,select,VERB,technical term,Choose,29285,r010,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True
trouser,trouser,NOUN,technical term,Clothing item,29285,r012,False,False,False,True,False,False,True,True,False,True,True,True,False,False,True,False,True,True,True,True,True
way,ways,NOUN,organization name,Method or approach,29285,r013,False,False,False,True,False,True,False,True,True,True,False,False,True,True,False,True,True,False,True,True,True
boy,boy,NOUN,individual name,Child,29285,r002,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True
select,select,VERB,technical term,Choose,29285,r010,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True
shirt,shirt,NOUN,technical term,Clothing item,29285,r011,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,True,True,True,True,True,True
way,ways,NOUN,organization name,Method or approach,29285,r013,False,False,False,True,False,True,False,True,True,True,False,False,True,True,False,True,True,False,True,True,True
number,number,NOUN,technical term,Quantity,29285,r008,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,True,True,True
way,ways,NOUN,organization name,Method or approach,29285,r013,False,False,False,True,False,True,False,True,True,True,False,False,True,True,False,True,True,False,True,True,True
select,select,VERB,technical term,Choose,29285,r010,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True
trouser,trouser,NOUN,technical term,Clothing item,29285,r012,False,False,False,True,False,False,True,True,False,True,True,True,False,False,True,False,True,True,True,True,True
shirt,shirt,NOUN,technical term,Clothing item,29285,r011,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,True,True,True,True,True,True
way,ways,NOUN,organization name,Method or approach,29285,r013,False,False,False,True,False,True,False,True,True,True,False,False,True,True,False,True,True,False,True,True,True
answer,Answer,NOUN,technical term,Response,29285,r001,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True
option,Option,NOUN,technical term,Choice,29285,r009,False,False,False,False,True,True,False,False,False,True,False,True,True,True,True,True,False,True,True,True,True
e,E,NOUN,technical term,Option E,29285,r004,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,True,True,False,True,False,True
G.P,G.P,PROPN,Technical Term,Geometric Progression,46134,r003,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,False,False,True,True
r,r,NOUN,Technical Term,Common Ratio,46134,r010,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True
=,=,NOUN,Technical Term,Comparison or Assignment,46134,r001,False,False,False,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,True,True
let,Let,VERB,Other,Introduction of Variable,46134,r005,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,True,True,True,True
number,number,NOUN,General Concept,"Quantity, Amount",46134,r009,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,True,True,True
term,terms,NOUN,technical term,number of items in a sequence,46134,r011,False,False,True,False,True,True,False,True,False,False,True,False,False,True,True,True,False,True,True,True,True
n.,n.,PROPN,Technical Term,Element Number,46134,r007,False,True,False,False,False,True,False,True,True,True,False,False,True,False,True,True,True,True,True,True,True
then,Then,ADV,,indicating subsequent event or state,46134,r012,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True
^n-1,^n-1,NOUN,Technical Term,Exponent Term,46134,r004,False,False,False,False,True,False,True,True,True,False,False,True,True,False,True,False,False,True,True,True,True
thus,Thus,ADV,,as a result,46134,r014,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,False,True,True,True
n=,n=,NOUN,Technical Term,Equation Assignment,46134,r008,False,False,False,True,False,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True,True
ANSWER,ANSWER,PROPN,Organization Name,Response,46134,r002,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,True,True,True
linear,linear,ADJ,ORG,Linear Organization or System,57548,r015,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
eqn,eqn,NOUN,TECHNICAL TERM,Equation,57548,r013,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,True,True,True
variable,variable,NOUN,technical term,Unknown value in an equation,57548,r022,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,True,True,True,True,True
Ist,Ist,PROPN,LOC,First (position),57548,r007,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,True,True
eqn,eqn,NOUN,TECHNICAL TERM,Equation,57548,r013,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,True,True,True
+,+,ADJ,,Addition,57548,r001,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True
y,y,PROPN,variable,Unknown value in an equation,57548,r024,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,False,False,False,True,True,True
=,=,NOUN,,Equality,57548,r005,False,False,False,False,True,True,False,False,False,True,True,False,True,False,True,True,True,True,True,True,True
solving,solving,NOUN,,Process of Finding Solutions,57548,r020,False,True,False,True,True,False,True,False,True,False,False,True,False,False,False,True,False,True,True,True,True
right,right,ADJ,,Correct,57548,r019,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,True,True
answer,answer,NOUN,,Solution or result,57548,r009,False,False,False,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,False,True,True
y,y,PROPN,variable,Unknown value in an equation,57548,r024,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,False,False,False,True,True,True
=,=,NOUN,,Equality,57548,r005,False,False,False,False,True,True,False,False,False,True,True,False,True,False,True,True,True,True,True,True,True
wrong,wrong,ADJ,technical term,Incorrect answer,57548,r023,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True
answer,answer,NOUN,,Solution or result,57548,r009,False,False,False,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,False,True,True
ANSWER,ANSWER,PROPN,ORG,The examination or question response,57548,r006,False,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,True,True,True,True
b,B,NOUN,ORGANIZATION,Answer,57548,r011,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,True,True,True
say,Say,VERB,technical term,To make a statement or express information verbally,63741,r015,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,True,True,False,False,False,True
be,are,VERB,Action,Existence/State of Being,63741,r006,False,False,False,True,False,True,True,False,False,True,False,True,True,False,True,True,True,True,True,True,True
total,total,ADJ,organization name,The aggregate of all members,63741,r017,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,False,True,True,True
member,members,NOUN,Other,Constituent Part,63741,r010,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,True,True,True,True,True
congress,congress,PROPN,ORG,Legislative Body,63741,r007,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True
thus,Thus,ADV,,Consequently,63741,r016,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,True,True,False,True,True,True
Democrats,Democrats,PROPN,NORP,Political Party,63741,r004,False,True,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True
Republicans,Republicans,PROPN,NORP,Political Party,63741,r005,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True
Democrats,Democrats,PROPN,NORP,Political Party,63741,r004,False,True,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True
expect,expected,VERB,Action,Anticipation/Prediction,63741,r008,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,True,True,True
vote,vote,VERB,technical term,"The action of expressing a choice, typically through a formal procedure",63741,r018,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,True,True,True
new,new,ADJ,technical term,Legislation,63741,r011,False,False,False,False,False,True,True,False,True,False,True,False,True,True,True,False,True,True,True,True,True
law,law,NOUN,Other,Legislation,63741,r009,False,False,False,False,True,False,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True
0.20=9,0.20=9,NOUN,Measurement,Percentage,63741,r001,False,False,False,True,False,False,True,False,False,False,True,True,True,True,True,False,True,True,True,True,True
Republicans,Republicans,PROPN,NORP,Political Party,63741,r005,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True
expect,expected,VERB,Action,Anticipation/Prediction,63741,r008,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,True,True,True
vote,vote,VERB,technical term,"The action of expressing a choice, typically through a formal procedure",63741,r018,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,True,True,True
