word,part_of_speech,category,meaning,question_id
solution,NOUN,technical term,A method or strategy,29338
statement,NOUN,technical term,A declaration expressing a viewpoint,29338
ratio,NOUN,technical term,The relationship between two or more quantities,29338
shift,NOUN,technical term,A change in position or value,29338
simple,ADJ, ,Easily understood or done,29338
people,NOUN,organization name,A collective group of individuals,29338
person,NOUN,Individual Name,Human being,29338
other,ADJ,,,29338
r,NOUN,technical term,,29338
side,NOUN,organization name,,29338
term,NOUN,technical term,A specific concept or idea within a field of study,29338
value,NOUN,organization name,The worth or significance assigned to something,29338
%,NOUN,Technical Term,Percentage,83902
1800,NUM,MONEY,Dollar amount,83902
2025,NUM,MONEY,Dollar amount,83902
225,NUM,MONEY,Dollar amount,83902
3600,NUM,MONEY,Dollar amount,83902
@25,ADJ,Technical Term,Rate of interest,83902
C.I.,PROPN,Technical Term,Compound Interest,83902
S.I.,PROPN,Technical Term,Simple Interest,83902
answer,NOUN,Technical Term,Solution to the problem,83902
c,NOUN,Technical Term,Representation of an option or choice,83902
compound,ADJ,technical term,Calculation Method,83902
difference,NOUN,technical term,Amount of Change,83902
interest,NOUN,technical term,Financial Gain,83902
simple,ADJ,technical term,Calculation Method,83902
sum,NOUN,technical term,Principal Amount,83902
=,VERB,technical term,Equates,73290
ANSWER,PROPN,organization name,Test Scoring System,73290
answer,NOUN,technical term,Response to a Question,73290
award,VERB,technical term,Allocate Points,73290
be,VERB,technical term,Exist,73290
c,NOUN,organization name,Test Provider,73290
correct,ADJ,technical term,Accurate,73290
deduct,VERB,technical term,Remove Points,73290
many,ADJ,technical term,Quantifiable Quantity,73290
question,NOUN,technical term,Inquiry or Problem,73290
score,NOUN,technical term,Points awarded or deducted in a test or competition,73290
so,ADV,,"Therefore, as a result",73290
sukanya,NOUN,individual name,A person's name,73290
then,ADV,,Following a previous statement or event,73290
total,NOUN,,The sum of all values or quantities,73290
wrong,ADJ,,Incorrect or faulty,73290
x,NOUN,technical term,A variable or unknown quantity,73290
x=130,PROPN,,The specific value assigned to the variable x,73290
%,NOUN,Technical Term,Percentage,93107
.,PROPN,NORP,End of Sentence,93107
90/30ã—500,NOUN,Technical Term,Mathematical Calculation,93107
=,NOUN,Technical Term,Equality,93107
Income,PROPN,Individual Name,Financial Earnings,93107
Market,PROPN,Organization Name,Stock Exchange,93107
Required,PROPN,Technical Term,Necessary Demand,93107
Rs,PROPN,"NORP, ORG",Indian Rupee Currency Unit,93107
Rs.100,PROPN,Financial Value,One Hundred Indian Rupees,93107
Rs.1500,PROPN,Financial Value,One Thousand Five Hundred Indian Rupees,93107
Rs.15000,PROPN,Organization Name,Financial value,93107
Rs.30,NOUN,Technical Term,Income target,93107
Rs.90,PROPN,Organization Name,Financial value,93107
Value,PROPN,Technical Term,Monetary worth,93107
answer,NOUN,Organization Name,Solution,93107
e,NOUN,Individual Name,Option choice,93107
explanation,NOUN,Technical Term,Justification,93107
face,NOUN,Organization Name,Value represented,93107
give,VERB,Technical Term,Provide,93107
here,ADV,Organization Name,Location,93107
income,NOUN,technical term,Revenue generated from investments,93107
investment,NOUN,technical term,Capital put into financial assets to generate income,93107
make,VERB,,"To achieve or attain a financial result (e.g., an income)",93107
obtain,VERB,,"To acquire or gain something, specifically a desired outcome like income",93107
option,NOUN,technical term,"A choice presented in a problem or scenario (e.g., option E)",93107
order,NOUN,,Sequence or arrangement (referring to the options presented),93107
question,NOUN,,A problem or query requiring a solution or answer,93107
r,NOUN,,"Likely stands for 'Rupees', indicating currency.",93107
stock,NOUN,technical term,Shares representing ownership in a company,93107
"ie,30",NOUN,Technical Term,30% of the face value,93107
take,VERB,organization name,To acquire or receive,93107
value,NOUN,technical term,A fundamental measure of a good's worth,93107
24(2,NOUN,calculation,mathematical operation performed on a number,49178
68/2,NOUN,calculation,mathematical operation performed on a number,49178
Joey,PROPN,individual name,a person's name,49178
PLUS,PROPN,technical term,mathematical operation of addition,49178
again,ADV,general,repeated action or occurrence,49178
age,NOUN,measurement,length of time a person has lived,49178
answer,NOUN,result,solution to a question or problem,49178
be,VERB,state of being,to exist or occur,49178
c,NOUN,calculation,a mathematical constant,49178
calculate,VERB,process,to determine a value or amount mathematically,49178
come,VERB,,,49178
cool,ADJ,,,49178
currently,ADV,,,49178
determine,VERB,,,49178
double,VERB,,,49178
eat,VERB,,,49178
end,NOUN,,,49178
equal,VERB,,,49178
final,ADJ,,,49178
find,VERB,,,49178
first,ADJ,organisation_name,Year at school,49178
following,ADJ,technical_term,Subsequent year in grade,49178
give,VERB,organisation_name,To provide or impart information,49178
go,VERB,individual_name,To move or travel to a destination,49178
grade,NOUN,technical_term,Academic accomplishment,49178
here,ADV,technical_term,In this context,49178
information,NOUN,technical_term,Data or facts,49178
instruction,NOUN,organisation_name,Guidance provided,49178
let,VERB,individual_name,To allow or permit,49178
lot,NOUN,technical_term,A significant amount,49178
main,ADJ,organization name,The central or primary subject,49178
mean,VERB,technical term,To calculate or determine an average value,49178
method,NOUN,technical term,A systematic procedure for accomplishing something,49178
now,ADV,None,At the present time,49178
on,ADV,None,In or at a particular place or point,49178
previous,ADJ,None,Coming before in time or order,49178
psychology,NOUN,technical term,The scientific study of the mind and behavior,49178
question,NOUN,None,A question that requires an answer,49178
say,VERB,None,To speak or utter words,49178
school,NOUN,organization name,An educational institution,49178
score,VERB,,Calculate a result or evaluate something,49178
slow,ADV,,Proceed gradually or cautiously,49178
so,ADV,,To such an extent; therefore,49178
student,NOUN,individual name,A person enrolled in a school or university,49178
tackle,VERB,,Approach and try to deal with something challenging,49178
technically,ADV,,Based on literal accuracy rather than practical or real-world applications,49178
then,ADV,,At that time; subsequently,49178
therefore,ADV,,As a result; consequently,49178
want,VERB,,Desire or wish for something,49178
year,NOUN,,A period of 365 days,49178
*,MATH,,A multiplication factor,88018
Explanation,NOUN,,Provides the reasoning behind a result,88018
come,VERB,,To arrive or exist in a specific location,88018
follow,VERB,,To go after or adhere to something,88018
mark,NOUN,,"A symbol, sign, or indicator",88018
number,NOUN,,A mathematical value,88018
place,NOUN,,A location or position,88018
question,NOUN,,An inquiry seeking information,88018
series,NOUN,,A sequence of items or events,88018
+,SYMBOL,,Addition,11163
3c,ADJ,Technical Term,A Specific Value or Condition within a System,11163
=,SYMBOL,,Equality,11163
C,NOUN,Technical Term,Variable representing a value or quantity in a system,11163
Claire,PROPN,Individual Name,A Girl's Name,11163
D.,PROPN,Organization Name,Could be an Acronym or Identifier for a Group,11163
Lisa,PROPN,Individual Name,A Girl's Name,11163
Robert,PROPN,Individual Name,A Boy's Name,11163
answer,NOUN,,The Solution or Result to a Problem,11163
as,ADP,,Indicator of Comparison,11163
c,NOUN,Technical Term,Variable representing a value,11163
l,NOUN,Individual Name,Represents Lisa,11163
many,ADJ,Technical Term,Indicates a large quantity,11163
more,ADJ,Technical Term,Indicates an increase in quantity,11163
number,NOUN,Technical Term,Representation of a numerical value,11163
photo,NOUN,Technical Term,Represents a captured image,11163
r,NOUN,Individual Name,Represents Robert,11163
same,ADJ,Technical Term,Indicates equality in quantity,11163
school,NOUN,Organization Name,Educational institution,11163
take,VERB,Technical Term,Action of capturing a photo,11163
time,NOUN,technical term,Duration,11163
trip,NOUN,organization name,Journey,11163
10 minute,NUM,TIME,,85741
20 minute,NUM,TIME,,85741
70 minute or an hour,NUM,TIME,,85741
=,"VERB, NOUN",,,85741
Answer A,PROPN,LOC,,85741
give,VERB,,,85741
last,VERB,,,85741
long,ADV,,,85741
minute,NOUN,TIME,,85741
patient,NOUN,,,85741
pill,NOUN,technical term,Medication,85741
require,VERB,,To necessitate or demand something,85741
run,VERB,,To be in effect or operation for a period of time,85741
take,VERB,,To consume or ingest,85741
the zero minute,DET,TIME,The starting point in time,85741
then,ADV,,Subsequently or following something else,85741
+,SYMBOL,,Addition,14727
-ve,ADJ,technical term,Negative,14727
2)as,ADP,,Referring to a previous statement,14727
Ans,NOUN,,Answer,14727
CANNOT,VERB,,An impossibility or negation,14727
D,NOUN,,Choice D,14727
II,NUM,,Ordinal number representing the second item in a list or sequence,14727
III,NUM,,Ordinal number representing the third item in a list or sequence,14727
K=1,CONST,technical term,Mathematical formula or condition,14727
True,ADJ,,Accurate or verified,14727
as,ADV,Technical Term,Equivalent to or equal to,14727
consecutive,ADJ,Technical Term,Following in an uninterrupted order.,14727
early,ADV,Technical Term,Located or occurring before a certain point in time.,14727
follow,VERB,Technical Term,To trail behind or succeed something else.,14727
have,VERB,Technical Term,To possess or experience something.,14727
high,ADJ,Technical Term,Elevated or situated at a great distance above the ground.,14727
i.,NOUN,Organization Name,This refers to some form of organization.,14727
integer,NOUN,Technical Term,A whole number (including zero) with no fractional or decimal part.,14727
k,PROPN,Individual Name,This designates a specific individual in this context,14727
k=1,PROPN,", PERSON","Specifies a particular human, k.",14727
k=3,VERB,Technical Term,Mathematical operation referring to a subset of integers with specific properties,14727
k>1--------->largest,NOUN,Technical Term,Represents the largest number within a set of consecutive integers when k is greater than 1.,14727
large,ADJ,None,Describes a substantial or considerable quantity,14727
least,ADJ,None,Indicates the smallest value within a set,14727
low,ADJ,None,Denotes a small or diminished amount or value,14727
negative,ADJ,Technical Term,Describes a mathematical value less than zero.,14727
never,ADV,None,Expresses absolute negation or non-occurrence,14727
number,NOUN,Technical Term,A quantitative value representing a specific amount.,14727
only,ADV,None,Limits something to the exclusion of all others,14727
positive,ADJ,Technical Term,Describes a mathematical value greater than zero.,14727
product,NOUN,technical term,mathematical operation,14727
sum,NOUN,technical term,mathematical operation,14727
time,NOUN,higher level concept,duration,14727
true,ADJ,higher level concept,correctness,14727
small,ADJ,  ,  ,14727
state,VERB,  ,  ,14727
then,ADV,  ,  ,14727
well,ADV,  ,  ,14727
≥,PROPN,Technical Term,Greater than or equal to,14727
c,PROPN,Technical Term,Variable representing a coordinate on the x-axis,69576
d,PROPN,Technical Term,Variable representing a coordinate on the y-axis,69576
"0,which",NOUN,Technical Term,Point representing zero on both axes,69576
E.,PROPN,Individual Name,"An option or answer choice indicating (5,3).",69576
P=(c,PROPN,Technical Term,Point designation based on coordinates c and d,69576
QII,PROPN,Org,Quadrant II,69576
QIII,PROPN,Org,Quadrant III,69576
QIV,PROPN,Org,Quadrant IV,69576
Vertex,PROPN,Technical Term,Corner point of a shape.,69576
Vertex #1,PROPN,,Designated first vertex point,69576
anegativenumber,NOUN,,,69576
answer,VERB,,,69576
c,"PROPN, NOUN",,,69576
certain,ADJ,,,69576
d,"PROPN, NOUN",,,69576
follow,VERB,,,69576
is,ADV,,,69576
last,ADJ,,,69576
mark,VERB,,,69576
mean,VERB,Other,To calculate or understand the average or central tendency.,69576
negative,ADJ,Other,Expressing a lack of positivity or favorable quality.,69576
number,NOUN,Technical Term,A mathematical concept representing quantity.,69576
only,ADJ,Other,Limited to one or alone.,69576
p,NOUN,Organization Name,"A specific organization, typically a company or group with 'P' in its name.",69576
part,NOUN,Other,A section or portion of something larger.,69576
point,NOUN,Technical Term,A specific location in space; a coordinate on a graph.,69576
positive,ADJ,Other,Expressing positivity or favorable quality.,69576
quadrant,NOUN,Technical Term,One of the four regions divided by the x and y axes on a coordinate plane.,69576
question,NOUN,Other,A request for information or clarification.,69576
red,ADJ,technical term,color,69576
same,ADJ,technical term,equivalent or identical,69576
seem,VERB,technical term,appear to be,69576
square,NOUN,technical term,geometric shape,69576
that,ADV,technical term,indicating location or position,69576
tricky,ADJ,technical term,difficult or challenging,69576
vertex,NOUN,technical term,corner of a polygon,69576
x,"PROPN, NOUN",technical term,coordinate axis,69576
xy,PROPN,technical term,system of coordinates,69576
xy-plane,PROPN,technical term,coordinate system,69576
y,PROPN,Individual Name, A person's name,69576
*,NOUN,Technical Term,Multiplication,36939
=,PROPN,Organization Name,Equation,36939
A,PROPN,Individual Name,Correct answer,36939
Taylor,PROPN,Individual Name,Person,36939
^,NOUN,Technical Term,Exponentiation,36939
answer,NOUN,Technical Term,Solution,36939
attempt,VERB,Organization Name,Action,36939
basket,NOUN,Technical Term,Container,36939
basketball,NOUN,Technical Term,Sport,36939
bear,PROPN,Individual Name,Animal,36939
carnival,NOUN,organization name,Event,36939
exactly,ADV,technical term,Precise numerical value,36939
go,VERB,None,Perform an action,36939
hoop,NOUN,technical term,Sports equipment,36939
hope,VERB,None,Wish,36939
make,VERB,None,Accomplish,36939
probability,NOUN,technical term,Chance,36939
require,VERB,None,Need,36939
same,ADJ,None,Identical,36939
shoot,VERB,None,Throw,36939
small,ADJ,technical term,size,36939
tall,ADJ,technical term,height,36939
teddy,NOUN,organization name,toy,36939
try,VERB,action,attempt,36939
win,VERB,result,success,36939
year,NOUN,period of time,duration,36939
/,NOUN,technical term,unit separation,77707
85/3,PROPN,numerical value,measurement,77707
=,PROPN,numerical operator,equality,77707
Speed=(102∗5/18)m,PROPN,technical term,velocity calculation,77707
car,NOUN,object,vehicle,77707
explanation,NOUN,concept,description,77707
hr,NOUN,technical term,time unit,77707
m,PROPN,unit,meter,77707
meter,NOUN,measurement,linear distance,77707
move,NOUN,action,motion,77707
sec,PROPN,ORG,"Second, a unit of time",77707
second,ADV,TECHNICAL TERM,A measure of time,77707
speed,NOUN,TECHNICAL TERM,The rate at which something moves or changes,77707
Option B,NOUN,PRODUCT,Possible answer choice,77707
8x/9,NOUN,Technical Term,Mathematical Expression,30284
=,VERB,,Equality,30284
Exp,PROPN,Organization Name,Expenditure,30284
answer,NOUN,,Solution,30284
average,ADJ,,Central Tendency,30284
expenditure,NOUN,Technical Term,Spending,30284
go,VERB,,Motion,30284
hotel,NOUN,,Accommodation,30284
let,VERB,,Permission,30284
meal,NOUN,,Food Portion,30284
money,NOUN,TECHNICAL TERM,Finance,30284
more,ADJ,NONE,Quantity,30284
person,NOUN,INDIVIDUAL NAME,Human Being,30284
r 12,NOUN,PRODUCT,Currency,30284
spend,VERB,NONE,Consume,30284
take,VERB,NONE,Acquire,30284
then,ADV,NONE,Sequence,30284
total,ADJ,NONE,Summation,30284
x,PROPN,VARIABLE,Unknown Value,30284
x/9,PROPN,VARIABLE,Division,30284
D,PROPN,Individual Name,Answer,72282
ans,NOUN,Organization Name,The Answer,72282
answer,NOUN,Technical Term,A solution or conclusion,72282
become,VERB,,Transform,72282
current,ADJ,Technical Term,Present,72282
currently,ADV,,At this moment,72282
d,PROPN,Individual Name,A variable,72282
double,VERB,,Multiply by 2,72282
..,PUNCT,,,72282
be,VERB,,,72282
give,VERB,,To present or transfer something to another,72282
have,VERB,,To possess or control something,72282
initially,ADV,,At the start or beginning,72282
leave,VERB,,To depart from a location,72282
let,VERB,,To allow or permit something to happen,72282
man,NOUN,individual name,Male humans,72282
many,ADJ,,A large quantity,72282
mean,VERB,,To intend or purpose something,72282
enter,VERB,Technical Term,To come into a place or situation,72282
now,ADV,technical term,Present time,72282
number,NOUN,technical term,Quantity,72282
number=5,PROPN,individual name,Specific amount,72282
ratio,NOUN,technical term,Proportion,72282
room,NOUN,technical term,Space,72282
strength,NOUN,technical term,Power or capability,72282
tell,VERB,,Communicate,72282
then,ADV,technical term,Sequence of events,72282
woman,NOUN,individual name,Female person,72282
x=3,PROPN,individual name,Specific value,72282
Answer,NOUN,Individual Name,Response,78205
E,NOUN,Technical Term,Variable,78205
=,"VERB, NOUN",Technical Term,mathematical equation,30265
A,PROPN,Individual Name,Person working on the project,30265
B,PROPN,Individual Name,Person working on the project,30265
X,PROPN,Technical Term,Variable representing time taken to complete the project,30265
amount,NOUN,Technical Term,Quantity of work completed,30265
answer,NOUN,Technical Term,Solution to the problem,30265
complete,VERB,,Achieve completion of a task,30265
d,NOUN,Technical Term,Variable representing a possible solution,30265
day,NOUN,Technical Term,Unit of time,30265
do,VERB,technical term,Complete a task,30265
let,VERB,technical term,Define a variable,30265
many,ADJ,organization name,A significant number of,30265
project,NOUN,technical term,Set defined task or goal,30265
quit,NOUN,organization name,Company that has closed down,30265
same,ADJ,technical term,Identical or comparable to,30265
start,VERB,technical term,Initiate a process or project,30265
take,VERB,technical term,Allocate time for a specific task,30265
therefore,ADV,organization name,Organization that provides logical conclusions,30265
together,ADV,technical term,Combined or synchronized effort,30265
work,"NOUN, VERB",technical term,Labor or effort exerted,30265
X,PROPN,,Variable representing the number of days to complete the project,30265
(x-10),,technical term,Portion of work done by A,30265
(x),,technical term,Portion of work done by B,30265
x/30,NOUN,Technical Term,Part of a calculation representing work done.,30265
=,"NOUN, ADJ, PROPN",,,95704
ANSWER,PROPN,,,95704
D,PROPN,LABEL,,95704
be,VERB,,,95704
12 p.m,NUM,TIME,Measurement of time,95704
break,NOUN,technical term,Pause in a scheduled activity,95704
college,NOUN,organization name,Educational institution,95704
duration,NOUN,technical term,Length of time,95704
explanation,NOUN,technical term,Statement clarifying a concept,95704
find,VERB,none,Discover or determine,95704
give,VERB,none,Provide,95704
hence,ADV,none,Consequently,95704
hold,VERB,none,Organize or possess,95704
lecture,NOUN,technical term,Educational speech,95704
number,NOUN,technical term,Quantity,95704
p.m.,NOUN,Technical Term,Time of Day,95704
spend,VERB,Action,Allocate time to an activity,95704
student,NOUN,Individual Name,Learner in an institution of learning,95704
time,NOUN,Technical Term,Measured duration,95704
timing,NOUN,Technical Term,Schedule or arrangement of events over time,95704
total,ADJ,Quantity,Complete amount,95704
carve,VERB,technical term,Sculpture,94652
cut,VERB,technical term,Sculpture,94652
complete,VERB,technical term,Sculpture,94652
original,ADJ,technical term,Artwork,94652
piece,NOUN,technical term,Artwork,94652
sculptor,NOUN,individual name,Artist,94652
away,ADV,Technical Term,Percentage reduction,94652
final,ADJ,Technical Term,The finished product,94652
marble,NOUN,Technical Term,Material used for sculpture,94652
remainder,NOUN,Technical Term,Portion remaining after removal,94652
statue,NOUN,technical term,Sculpture,94652
weigh,VERB,,To determine the heaviness of something,94652
weight,NOUN,technical term,The heaviness of an object due to gravity,94652
Ã,PROPN,Technical Term,Unit of measurement,94652
a,NOUN,Technical Term,Choice,93830
answer,NOUN,,Solution,93830
cube,NOUN,Technical Term,Mathematical Operation,93830
difference,NOUN,Technical Term,Calculation Result,93830
great,ADJ,,Large,93830
integer,NOUN,Technical Term,Whole Number,93830
number,NOUN,Technical Term,Quantitative Value,93830
positive,ADJ,Technical Term,Greater Than Zero,93830
sum,NOUN,Technical Term,Addition Result,93830
V,PROPN,individual name,volume of the solution,48338
add,VERB,,to incorporate water into the solution,48338
amount,NOUN,technical term,quantity of sugar in the solution,48338
answer,NOUN,,solution to the problem,48338
let,VERB,,to assume a value,48338
make,VERB,,to create a solution of the desired concentration,48338
milliliter,NOUN,technical term,unit of volume,48338
ml,NOUN,technical term,abbreviation for milliliter,48338
much,ADJ,,signifies a larger quantity,48338
a.,Determiner,Organization Name,Question answer choice A (specific to the problem context),48338
need,VERB,,Requirement,48338
new,ADJ,,Novelty,48338
original,ADJ,,First instance,48338
solution,NOUN,,Composed Set of Responses,48338
sugar,NOUN,,Sweetener,48338
v=320,NOUN,Technical Term,Volume Value,48338
volume,NOUN,,Capacity,48338
water,NOUN,,Hydrant Liquid,48338
=,VERB,technical term,Mathematical operation,86193
answer,NOUN,,Solution to a problem,86193
b,NOUN,,Specific answer option,86193
coin,NOUN,technical term,Currency,86193
flip,VERB,technical term,Action of tossing a coin,86193
land,VERB,,Result of a flip,86193
last,ADJ,,Referencing the end point,86193
probability,NOUN,technical term,Chance of an event happening,86193
tail,NOUN,,Facing side of a coin,86193
time,NOUN,,Duration,86193
24,NUM,MONEY,$24,78536
B.,PROPN,NORP,Answer Choice B,78536
also,ADV,,additional,78536
answer,NOUN,,correct response,78536
apiece,ADV,,per individual item,78536
carpet,NOUN,,floor covering,78536
cost,NOUN,,price,78536
cover,VERB,,protect or lay over,78536
floor,NOUN,,ground surface,78536
floor(24,PROPN,,Floor measuring 24 meters,78536
length,NOUN,technical term,the measurement of something horizontally,78536
m,NOUN,technical term,"meter, unit of length",78536
measure,VERB,technical term,to determine the size or extent of something,78536
multiple,NOUN,technical term,a product of two numbers,78536
need,VERB,,to require,78536
number,NOUN,technical term,a quantity or amount,78536
rectangular,ADJ,technical term,having four sides and four right angles,78536
side,NOUN,technical term,an edge or boundary of a shape,78536
so,ADV,,therefore,78536
square,"NOUN, VERB",technical term,Geometric shape,78536
square(8,PROPN,organization name,A carpet sized 8x8 m,78536
therefore,ADV,technical term,Consequently,78536
total,ADJ,technical term,Sum of values,78536
width,NOUN,technical term,Measurement from side to side,78536
ANSWER,PROPN,ORG,Response/Solution,66930
b,NOUN,Individual Name,Specific choice,66930
cyclic,ADJ,Technical Term,Circular/ Repeating Pattern,66930
hand,NOUN,Technical Term,Body Part Engaged in Interaction,66930
handshake,NOUN,Technical Term,Act of Hand Greeting/Interaction,66930
here,ADV,,Location/Context,66930
linear,ADJ,Technical Term,Sequential/Straight Line,66930
many,ADJ,,Quantity/Number,66930
n-1,NOUN,Technical Term,Mathematical Sequence Reference,66930
pair,NOUN,,Group/Two Together,66930
people,NOUN,individual name,Group of people,66930
possible,ADJ,Technical Term,Potential number,66930
sequence,NOUN,technical term,Series of events or actions,66930
shake,"NOUN, VERB",Technical Term,Action of greeting with hands,66930
so,ADV,None,Conjunction,66930
there,ADV,None,Existence,66930
together,ADV,None,Unit,66930
=,NOUN,technical term,Equality,5418
Solve,VERB,organization name,Problem-Solving Company,5418
answer,NOUN,technical term,Solution,5418
bag,NOUN,organization name,Container,5418
be,VERB,individual name,Exist,5418
coin,NOUN,technical term,Currency,5418
fill,VERB,technical term,Populate,5418
form,NOUN,organization name,Structure,5418
give,VERB,individual name,Provide,5418
hence,ADV,technical term,Therefore,5418
know,VERB,technical term,Possess information or understanding,5418
many,ADJ,technical term,A large quantity,5418
mean,NOUN,technical term,Average or typical value,5418
nickel,NOUN,technical term,A coin worth five cents,5418
nickle,NOUN,technical term,A coin worth five cents (misspelling),5418
number,NOUN,technical term,Quantity or amount of something,5418
penny,NOUN,technical term,A coin worth one cent,5418
ratio,NOUN,technical term,Comparison of two or more quantities,5418
there,ADV,organization name,Location (not specific),5418
total,ADJ,technical term,Sum or aggregate,5418
write,VERB,technical term,to represent mathematically,5418
x,PROPN,technical term,a variable representing an unknown quantity,5418
×,NOUN,technical term,multiplication symbol,5418
/,MATH OPERATOR,Technical Term,Division,16576
27 second,NOUN,Time,Duration,16576
answer,NOUN,Technical Term,Solution,16576
anywhere,ADV,Location,Unspecified position,16576
circular,ADJ,Technical Term,Rounded shape,16576
d,NOUN,,Answer; Option D from the text-based exam,16576
direction,NOUN,Technical Term,Course or movement,16576
hr,NOUN,Time,Hour,16576
length,NOUN,Measurement,Extent or size,16576
m,NOUN,Units,Meter (measure of length),16576
meet,VERB,Technical term,The occurrence of two individuals in the same location for the first time.,16576
move,VERB,Technical Term,Change position relative to a reference point.,16576
opposite,ADJ,Technical Term,Directional reversal in relation to one another.,16576
person,NOUN,Individual Name,Human being,16576
point,NOUN,Technical Term,Specific location on a surface or in space.,16576
relative,ADJ,Technical Term,Comparative to another entity or reference point.,16576
run,VERB,Technical Term,Movement at a fast pace with sustained effort.,16576
same,ADJ,Technical Term, Identical or having no differences.,16576
simultaneously,ADV,Technical Term,Occurring at the exact same moment.,16576
speed,NOUN,Technical Term,Rate of movement over time.,16576
start,VERB,Action,Initiate motion or a process,16576
take,VERB,Action,Consume or require time,16576
time,NOUN,Abstract,Duretion of an event,16576
track,NOUN,Physical object,A course or pathway,16576
Explanation,NOUN,technical term,Process of making something clear or understandable,73670
nCr,,technical term,Mathematical representation of combinations,73670
Evaluate,VERB,action,To assess or determine the value or quality of something,73670
combination,NOUN,concept,A selection or grouping of things,73670
Option,NOUN,None,Choice,73670
A,PROPN,None,Specific choice or option,73670
!,"NOUN, PROPN",Technical Term,Factorial operation in mathematics.,73670
=,"VERB,OPERATOR",,Equals Sign - Represents comparison or calculation,59278
Time,NOUN,TIME,Measurement of Duration,59278
bridge,NOUN,,Structure for Crossing,59278
length,NOUN,,Distance/Dimension,59278
Answer,NOUN,,Solution/Response to a Question,59278
hr,NOUN,TECHNICAL TERM,"Unit of time, Hourly rate",59278
a,DETERMINER,,,59278
cross,VERB,,,59278
be,VERB,,,59278
let,VERB,technical term,Defines a variable,59278
long,ADJ,technical term,Describes the length of an object,59278
m,PROPN,individual name,Abbreviation for meters (unit of length),59278
m.,NOUN,technical term,"Represents a meter, shortened form",59278
metre,NOUN,technical term,Unit of length in the metric system,59278
option,NOUN,technical term,Choice or selection among alternatives,59278
sec,PROPN,"organization name, technical term",Abbreviation for seconds (unit of time),59278
speed,NOUN,technical term,The rate of movement or change over time,59278
then,ADV,technical term,Indicate a subsequent action or event,59278
train,NOUN,"individual name, technical term",A sequence of connected vehicles used for transportation on rails,59278
travel,VERB,Technical Term,Transportation,59278
x)/30,PROPN,Technical Term,Bridge length,59278
answer,NOUN,Organization Name,The result or solution to a question or problem,61759
b,NOUN,Individual Name,"A specific person, likely referred to in the context of the scores",61759
different,ADJ,,"Not similar; having variations or distinctions. In this case, referring to the different possible test scores.",61759
find,VERB,,"To discover or determine something, particularly a minimum range of scores",61759
have,VERB,,"Possess or control something, specifically in the context of test scores.",61759
individual,ADJ,Individual Name,"Each person taking the tests, emphasizing their unique scores",61759
look,VERB,,"To examine or observe something visually, as in 'looking at' the scores.",61759
make,VERB,,"To create or construct, specifically in the context of finding a minimum range",61759
mean,VERB,,"To indicate or represent something, specifically in expressing the potential for zero scores.",61759
as,ADV,,,61759
minimum,ADJ,technical term,Smallest,61759
people,NOUN,individual name,Multiple individuals,61759
person,NOUN,individual name,Single individual,61759
possible,ADJ,technical term,Potential,61759
practice,NOUN,technical term,Rehearsal,61759
range,NOUN,technical term,Difference,61759
score,NOUN,technical term,Measurement of success,61759
set,NOUN,technical term,Collection,61759
simply,ADV,,"Easily, Directly",61759
small,ADJ,,Limited,61759
take,VERB,technical term,To complete or participate in a test.,61759
test,NOUN,technical term,An assessment of knowledge or ability.,61759
test-takers,NOUN,individual name,People who take a test.,61759
+,VERB,MATHEMATICAL SYMBOL,Addition,37815
1800,NUM,MONEY,Dollar Amount,37815
2020,NUM,MONEY,Dollar Amount,37815
220,NUM,MONEY,Dollar Amount,37815
=,VERB,MATHEMATICAL SYMBOL,Equality,37815
Price,NOUN,NONSPECIFIC TERM,Value of an Item,37815
Profit,NOUN,CONCEPT,Financial Gain,37815
Ron,PROPN,PERSON,Individual Name,37815
Selling,VERB,ACTION,Transaction involving Exchange,37815
answer,NOUN,RESULT,Solution or Response,37815
cost,NOUN,Technical Term,Financial Expense,37815
cycle,NOUN,Technical Term,Vehicle for Recreation,37815
d,NOUN,,Answer Choice,37815
have,VERB,,Possession,37815
price,NOUN,Technical Term,Monetary Value,37815
profit,NOUN,Technical Term,Financial Gain,37815
sell,VERB,,Exchange for Money,37815
selling,NOUN,Technical Term,Act of Sales,37815
want,VERB,,Desire,37815
worth,ADJ,Technical Term,Valuable,37815
answer,NOUN,TECHNICAL TERM,Solution or response,581
certain,ADJ,TECHNICAL TERM,Specific or definite,581
country,NOUN,ORGANIZATION NAME,Nation or sovereign state,581
increase,"VERB, NOUN",TECHNICAL TERM,Growth or rise in amount,581
many,ADJ,TECHNICAL TERM,Large quantity or number,581
person,NOUN,INDIVIDUAL NAME,Human being,581
population,NOUN,TECHNICAL TERM,Group of people residing in a particular area,581
rate,NOUN,TECHNICAL TERM,Amount or frequency per unit of time or space,581
*,NOUN,technical term,Representation of multiplication or a placeholder value,50449
=,NOUN,mathematical expression,Symbol for equality or comparison,50449
answer,NOUN,individual name,Solution or result,50449
colony,NOUN,organization name,Group of individuals living together,50449
educate,VERB,technical term,Process of imparting knowledge or skills,50449
female,NOUN,individual name,Member of the feminine gender,50449
find,VERB,technical term,Process of discovering or determining something,50449
man,NOUN,individual name,Member of the masculine gender,50449
number,NOUN,technical term,Quantity or amount,50449
