word,part_of_speech,category,meaning,question_id, word,source_text,text,source,meaning ,_meaning,"},   {",recently,rock,say
Ford,PROPN,ORG,"Company, Manufacturing",20240105_11,,,,,,,,,,
Honda,PROPN,ORG,"Company, Manufacturing",20240105_11,,,,,,,,,,
Kia,PROPN,ORG,"Company, Manufacturing",20240105_11,,,,,,,,,,
automaker,NOUN,ORG,"Company, Manufacturing",20240105_11,,,,,,,,,,
axel,NOUN,TECH,Vehicle Component,20240105_11,,,,,,,,,,
issue,NOUN,PROB,"Problem, Concern",20240105_11,,,,,,,,,,
"more than 112,000",ADJ,NUM,Quantity,20240105_11,,,,,,,,,,
pickup,NOUN,PRD,Vehicle Type,20240105_11,,,,,,,,,,
potential,ADJ,technical term,Possibility of something happening or being the case,20240105_11,,,,,,,,,,
recall,VERB,technical term,Action taken by a company to address a safety issue with their products,20240105_11,,,,,,,,,,
risk,NOUN,technical term,Possibility of danger or harm,20240105_11,,,,,,,,,,
roll-away,NOUN,technical term,A hazard where a vehicle moves unintentionally,20240105_11,,,,,,,,,,
truck,NOUN,technical term,A type of motor vehicle used for transporting goods,20240105_11,,,,,,,,,,
vehicle,NOUN,technical term,A mode of transportation,20240105_11,,,,,,,,,,
this week,DET,DATE,,20240105_11,,,,,,,,,,
Americans,PROPN,NORP,People from the United States,20240105_13,,,,,,,,,,
cap,NOUN,Technical Term,A limit on the price of a product or service.,20240105_13,,,,,,,,,,
$35,NUM,MONEY,An amount of money equivalent to thirty-five dollars.,20240105_13,,,,,,,,,,
More,ADJ,Technical Term,Greater Quantity,20240105_13,,,,,,,,,,
available,ADJ,Technical Term,Accessible,20240105_13,,,,,,,,,,
cost,NOUN,Technical Term,Expense,20240105_13,,,,,,,,,,
diabete,NOUN,Technical Term,Chronic Illness,20240105_13,,,,,,,,,,
$10,NUM,MONEY,Price Point,20240105_13,,,,,,,,,,
$55,NUM,MONEY,Price Point,20240105_13,,,,,,,,,,
$100,NUM,MONEY,Price Point,20240105_13,,,,,,,,,,
drugmaker,NOUN,organization name,Company that produces medicine,20240105_13,,,,,,,,,,
get,VERB,,Obtain something,20240105_13,,,,,,,,,,
insulin,NOUN,technical term,Type of hormone for diabetes,20240105_13,,,,,,,,,,
lower,VERB,,Decrease the amount or value of something,20240105_13,,,,,,,,,,
major,ADJ,,Significantly large or important,20240105_13,,,,,,,,,,
make,VERB,,Produce or create something,20240105_13,,,,,,,,,,
manufacturer,NOUN,organization name,Company that produces goods,20240105_13,,,,,,,,,,
medication,NOUN,technical term,Treatment given to a disease or condition,20240105_13,,,,,,,,,,
more,ADJ,,A greater amount or number,20240105_13,,,,,,,,,,
now,ADV,,At this current time,20240105_13,,,,,,,,,,
offer,VERB,,Making something available,20240105_13,,,,,,,,,,
price,NOUN,Technical Term,The amount of money a product costs,20240105_13,,,,,,,,,,
product,NOUN,,Something that is made or sold,20240105_13,,,,,,,,,,
program,NOUN,Technical Term,A plan or system designed to achieve a specific goal,20240105_13,,,,,,,,,,
saving,NOUN,,Reducing the amount of money spent,20240105_13,,,,,,,,,,
third,ADJ,,Describes something as being in the position after two others,20240105_13,,,,,,,,,,
1988,NUM,DATE,Year,20231110_19,,,,,,,,,,
Breathe,PROPN,Individual Name,Song Title,20231110_19,,,,,,,,,,
CMAs,PROPN,Organization Name,Country Music Awards,20231110_19,,,,,,,,,,
Car,PROPN,Individual Name,Song Title,20231110_19,,,,,,,,,,
Cowboy,PROPN,Individual Name,Song Title,20231110_19,,,,,,,,,,
Faith,PROPN,Individual Name,Musical Artist,20231110_19,,,,,,,,,,
Fast,PROPN,Individual Name,Song Title,20231110_19,,,,,,,,,,
Hill,PROPN,Individual Name,Musical Artist,20231110_19,,,,,,,,,,
Luke Combs,PROPN,Individual Name,Musical Artist,20231110_19,,,,,,,,,,
Parton,PROPN,Individual Name,Musical Artist,20231110_19,,,,,,,,,,
Stream,PROPN,GPE,Broad Geographic Area,20231110_19,,,,,,,,,,
Toby Keith,PROPN,PERSON,Country Music Singer,20231110_19,,,,,,,,,,
Tracy Chapman,PROPN,PERSON,Singer-Songwriter,20231110_19,,,,,,,,,,
back,ADV,NULL,Returned to a Prior Position or State,20231110_19,,,,,,,,,,
big,ADJ,NULL,Large in Extent,20231110_19,,,,,,,,,,
bring,VERB,NULL,Move Something to a New Location,20231110_19,,,,,,,,,,
cover,NOUN,NULL,Act of Completing or Hiding,20231110_19,,,,,,,,,,
dolly,ADV,NULL,A Type of Dolly (Not Related to Parton),20231110_19,,,,,,,,,,
hit,"VERB, NOUN",NULL,Successfully Attacked or Influenced Music Charts,20231110_19,,,,,,,,,,
island,NOUN,Technical Term,Geography,20231110_19,,,,,,,,,,
song,NOUN,Technical Term,Music,20231110_19,,,,,,,,,,
spotlight,NOUN,Technical Term,"Attention, Fame",20231110_19,,,,,,,,,,
tune,NOUN,Technical Term,Music,20231110_19,,,,,,,,,,
win,VERB,,"Success, Achievement",20231110_19,,,,,,,,,,
thank,NOUN,technical term,Expressing gratitude,20231110_19,,,,,,,,,,
this week,DET,date,A period of time encompassing the current seven days,20231110_19,,,,,,,,,,
the year,DET,date, A period of 365 days,20231110_19,,,,,,,,,,
body,NOUN,Organization Name,Group of people,20231117_7,,,,,,,,,,
code,NOUN,Technical Term,Set of rules or guidelines,20231117_7,,,,,,,,,,
codification,NOUN,Technical Term,Formal systematization of laws or principles,20231117_7,,,,,,,,,,
conduct,NOUN,Technical Term,Behavior or actions,20231117_7,,,,,,,,,,
court,NOUN,Organization Name,Legal body that settles disputes,20231117_7,,,,,,,,,,
Federal Reserve Board,PROPN,Organization Name,"Central Banking Institution, Financial Regulation",20231117_7,,,,,,,,,,
National Security Council,PROPN,Organization Name,"Government Advisory Body, Foreign Policy",20231117_7,,,,,,,,,,
Supreme Court,PROPN,Organization Name,"Highest Court, Judicial System",20231117_7,,,,,,,,,,
US,PROPN,GPE,"Country, Nation",20231117_7,,,,,,,,,,
Congressional Budget Office,PROPN,ORG,Government agency,20231117_7,,,,,,,,,,
deal,NOUN,organization name,Transactions related to law and rules (legal),20231117_7,,,,,,,,,,
ethic,NOUN,technical term,Moral principles and standards of behavior,20231117_7,,,,,,,,,,
first-ever,ADJ,technical term,Unique or unprecedented in occurrence,20231117_7,,,,,,,,,,
follow,VERB,technical term,Adhere to rules and guidelines,20231117_7,,,,,,,,,,
gift,NOUN,technical term,Presents or favors given often with an expectation of future benefit,20231117_7,,,,,,,,,,
govern,VERB,technical term,To regulate and control  according to a set of rules,20231117_7,,,,,,,,,,
increase,VERB,technical term,To grow or elevate in amount or intensity,20231117_7,,,,,,,,,,
institution,NOUN,organization name,Established organization with lasting purpose and structure,20231117_7,,,,,,,,,,
issue,VERB,technical term,"To bring to attention, raise concern or controversy about something",20231117_7,,,,,,,,,,
justice,NOUN,technical term,"Fairness, righteousness and impartial treatment",20231117_7,,,,,,,,,,
legal,ADJ,technical term,"Law, Jurisdiction",20231117_7,,,,,,,,,,
powerful,ADJ,technical term,"Influence, strength",20231117_7,,,,,,,,,,
nine,NUM,CARDINAL,Number quantity,20231117_7,,,,,,,,,,
press,NOUN,technical term,"Media, Communication",20231117_7,,,,,,,,,,
principle,NOUN,technical term,"Ideal, guideline",20231117_7,,,,,,,,,,
property,NOUN,technical term,"Possessions, asset",20231117_7,,,,,,,,,,
regard,VERB,technical term,"Consideration, attention",20231117_7,,,,,,,,,,
long,ADV, ,Extended period of time,20231117_7,,,,,,,,,,
merely,ADV, ,"Simply, only",20231117_7,,,,,,,,,,
most,ADV, ,Largest in amount or degree,20231117_7,,,,,,,,,,
release,"NOUN, VERB",Organization Name,The act of publishing or making something available publicly.,20231117_7,,,,,,,,,,
report,NOUN,Technical Term,A formal document providing information on a specific topic or situation.,20231117_7,,,,,,,,,,
rule,NOUN,Technical Term,A statement that defines a requirement or guideline for behavior or action.,20231117_7,,,,,,,,,,
scrutiny,NOUN,Technical Term,Careful examination and investigation of something.,20231117_7,,,,,,,,,,
this week,DET,DATE,The current seven-day period.,20231117_7,,,,,,,,,,
say,VERB,,,20231117_7,,,,,,,,,,
undisclosed,ADJ,,,20231117_7,,,,,,,,,,
Antarctica,PROPN,Loc,Southernmost continent on Earth,20231201_0,,,,,,,,,,
day,NOUN,Time Unit,24-hour period,20231201_0,,,,,,,,,,
Antarctica,PROPN,Loc,Southernmost continent on Earth,20231201_0,,,,,,,,,,
B-15A,PROPN,Technical Term,Name of an Iceberg,20231201_0,,,,,,,,,,
C-19,PROPN,Technical Term,Name of an Iceberg,20231201_0,,,,,,,,,,
A23a,PROPN,Technical Term,Name of an Iceberg,20231201_0,,,,,,,,,,
antarctic,ADJ,LOC,Geographical region,20231201_0,,,,,,,,,,
break,VERB,,Action of separating or detaching,20231201_0,,,,,,,,,,
"1,500-square-mile",Adjective,QUANTITY,Size,20231201_0,,,,,,,,,,
away,adverb,Directional Indicator,In opposite direction,20231201_0,,,,,,,,,,
1986,NUM,DATE,Year the iceberg broke free,20231201_0,,,,,,,,,,
drift,VERB,Technical Term,Movement over water,20231201_0,,,,,,,,,,
floor,NOUN,Technical Term,Ocean Depth,20231201_0,,,,,,,,,,
head,VERB,Technical Term,Iceberg Movement Direction,20231201_0,,,,,,,,,,
iceberg,NOUN,Technical Term,Large Frozen Mass,20231201_0,,,,,,,,,,
move,NOUN,Technical Term,Iceberg Displacement,20231201_0,,,,,,,,,,
ocean,NOUN,Technical Term,Large Body of Salt Water,20231201_0,,,,,,,,,,
large,ADJ,,,20231201_0,,,,,,,,,,
loose,ADJ,,,20231201_0,,,,,,,,,,
name,NOUN,Organization Name,,20231201_0,,,,,,,,,,
now,ADV,,,20231201_0,,,,,,,,,,
rate,NOUN,Technical Term,Speed of movement,20231201_0,,,,,,,,,,
say,VERB,,Express an opinion or belief,20231201_0,,,,,,,,,,
scientist,NOUN,Individual Name,Expert in Science,20231201_0,,,,,,,,,,
shelf,NOUN,Technical Term,Underwater Formation,20231201_0,,,,,,,,,,
stick,VERB,,Remain Fixed in Place,20231201_0,,,,,,,,,,
the Southern Ocean,DET,Location,Body of Water,20231201_0,,,,,,,,,,
the Weddell Sea,DET,Location,Body of Water,20231201_0,,,,,,,,,,
the trillion-ton berg,DET,Technical Term,Massive Iceberg,20231201_0,,,,,,,,,,
three mile,NUM,Quantity,Distance Measurement,20231201_0,,,,,,,,,,
unclear,ADJ,,Difficult to Understand or See,20231201_0,,,,,,,,,,
world,NOUN,Technical Term,The Earth as a planet,20231201_0,,,,,,,,,,
Ford,PROPN,ORG,Company,20231103_17,,,,,,,,,,
Honda,PROPN,ORG,Company,20231103_17,,,,,,,,,,
RAV4,PROPN,,Product Name,20231103_17,,,,,,,,,,
Tesla,PROPN,ORG,Company,20231103_17,,,,,,,,,,
Toyota,PROPN,ORG,Company,20231103_17,,,,,,,,,,
automaker,NOUN,,Business engaged in vehicle production,20231103_17,,,,,,,,,,
battery,NOUN,,Device for storing electrical energy,20231103_17,,,,,,,,,,
fire,NOUN,,"Rapid burning with the evolution of combustion products as light, heat, and smoke",20231103_17,,,,,,,,,,
issue,NOUN,,Important topic or problem,20231103_17,,,,,,,,,,
more than 1.8 million,ADJ,MONEY,Quantity,20231103_17,,,,,,,,,,
recall,VERB,Technical Term,Process of retrieving products,20231103_17,,,,,,,,,,
replacement,NOUN,Technical Term,Item used to substitute another,20231103_17,,,,,,,,,,
risk,NOUN, Technical Term,Potential for harm or damage,20231103_17,,,,,,,,,,
statement,NOUN,Technical Term,Official declaration or announcement,20231103_17,,,,,,,,,,
vehicle,NOUN,Technical Term,Mode of transport,20231103_17,,,,,,,,,,
say,VERB,TECHNICAL TERM,To formally communicate information or express an opinion.,20231103_17,,,,,,,,,,
this week,DET,DATE,A period of seven days starting on Sunday and ending on Saturday.,20231103_17,,,,,,,,,,
Argentina,PROPN,GPE,Country,20231110_9,,,,,,,,,,
Brazil,PROPN,GPE,Country,20231110_9,,,,,,,,,,
Gay Games,PROPN,EVENT,International LGBTQ+ sporting event,20231110_9,,,,,,,,,,
Guadalajara,PROPN,GPE,"City in Mexico, Host of the Gay Games",20231110_9,,,,,,,,,,
Hong Kong,PROPN,GPE,Special Administrative Region of China,20231110_9,,,,,,,,,,
Hong Kong's,PROPN,GPE,Region in Asia,20231110_9,,,,,,,,,,
India,PROPN,GPE,Country,20231110_9,,,,,,,,,,
Japan,PROPN,GPE,Country,20231110_9,,,,,,,,,,
LGBTQ+,NOUN,,"Lesbian, Gay, Bisexual, Transgender, Queer (and more) Community",20231110_9,,,,,,,,,,
Mexico,PROPN,GPE,Country,20231110_9,,,,,,,,,,
Peru,PROPN,GPE,Country,20231110_9,,,,,,,,,,
Taiwan,PROPN,GPE,Country,20231110_9,,,,,,,,,,
add,VERB,,Increase,20231110_9,,,,,,,,,,
celebrate,VERB,,Commemorate,20231110_9,,,,,,,,,,
city,NOUN,,Urban Area,20231110_9,,,,,,,,,,
co-host,NOUN,,Jointly Organize Event,20231110_9,,,,,,,,,,
country,NOUN,,Nation,20231110_9,,,,,,,,,,
culture,NOUN,,Society's Customs and Traditions,20231110_9,,,,,,,,,,
curb,NOUN,,Restriction,20231110_9,,,,,,,,,,
delay,VERB,,Postpone,20231110_9,,,,,,,,,,
due,ADJ,,Cause,20231110_9,,,,,,,,,,
edition,NOUN,,Iteration,20231110_9,,,,,,,,,,
event,NOUN,,Occurrence,20231110_9,,,,,,,,,,
every four year,DET,DATE,Periodicity,20231110_9,,,,,,,,,,
finally,ADV,,Completion,20231110_9,,,,,,,,,,
find,VERB,,Locate Information,20231110_9,,,,,,,,,,
hold,VERB,,Organize,20231110_9,,,,,,,,,,
host,VERB,,Welcome and Manage,20231110_9,,,,,,,,,,
initially,ADV,,Beginning,20231110_9,,,,,,,,,,
kick,VERB,,Commence,20231110_9,,,,,,,,,,
pandemic,ADJ,TECHNICAL,Global Health Crisis,20231110_9,,,,,,,,,,
podcast,NOUN,TECHNICAL,Audio Media,20231110_9,,,,,,,,,,
sport,NOUN,technical term,physical activity involving skill and exertion,20231110_9,,,,,,,,,,
late,ADJ,general concept,time that has already passed,20231110_9,,,,,,,,,,
strict,ADJ,general concept,rigid and not allowing flexibility,20231110_9,,,,,,,,,,
Mexican,ADJ,NORP,relating to Mexico or its people,20231110_9,,,,,,,,,,
more,ADJ,general concept,a larger amount or degree,20231110_9,,,,,,,,,,
slate,VERB,Technical Term,Plan or Schedule,20231110_9,,,,,,,,,,
the Gay Games,DET,Organization Name,"Event, LGBTQ+ Sports Competition",20231110_9,,,,,,,,,,
the week unwrapped,DET,Organization Name,"Podcast, News program",20231110_9,,,,,,,,,,
two,NUM,CARDINAL,,20231110_9,,,,,,,,,,
21-17,NUM,CARDINAL,Score,20231124_7,,,,,,,,,,
Eagles,PROPN,ORG,Sports Team,20231124_7,,,,,,,,,,
February,PROPN,DATE,Month,20231124_7,,,,,,,,,,
Monday,PROPN,DATE,Day of the week,20231124_7,,,,,,,,,,
NFL,PROPN,ORG,Sports League,20231124_7,,,,,,,,,,
Baltimore Ravens,PROPN,ORG,Sports Team,20231124_7,,,,,,,,,,
Detroit Lions,PROPN,ORG,Sports Team,20231124_7,,,,,,,,,,
Philadelphia eagle,PROPN,ORG,Sports Team,20231124_7,,,,,,,,,,
San Francisco,PROPN,GPE,Location,20231124_7,,,,,,,,,,
49er,NOUN,ORG,Sports Team,20231124_7,,,,,,,,,,
Super Bowl,PROPN,EVENT,Major sporting competition,20231124_7,,,,,,,,,,
american,ADJ,NORP,Nationality,20231124_7,,,,,,,,,,
claim,VERB,,To assert or state as true,20231124_7,,,,,,,,,,
defeat,VERB,,To overcome or conquer,20231124_7,,,,,,,,,,
face,VERB,,to encounter or confront,20231124_7,,,,,,,,,,
following,ADJ,,Subsequent or coming after,20231124_7,,,,,,,,,,
football,NOUN,TECHNICAL TERM,Sport played with a ball,20231124_7,,,,,,,,,,
game,NOUN,EVENT,Competition or activity between individuals,20231124_7,,,,,,,,,,
get,VERB,,To obtain or receive,20231124_7,,,,,,,,,,
history,NOUN,SUBJECT,Past events and records,20231124_7,,,,,,,,,,
mark,VERB,,Indicates an event or action,20231124_7,,,,,,,,,,
ninth,ADJ,ORDINAL,Position in a sequence,20231124_7,,,,,,,,,,
previous,ADJ,,Referring to something that occurred earlier,20231124_7,,,,,,,,,,
rematch,VERB,,A repetition of a previous contest or event,20231124_7,,,,,,,,,,
revenge,NOUN,ABSTRACT,Desire for retribution after harm,20231124_7,,,,,,,,,,
season,NOUN,TIME,A period of time dedicated to a particular activity or competition,20231124_7,,,,,,,,,,
team,NOUN,ORGANIZATIONAL ENTITY,A group of people assembled for a shared purpose,20231124_7,,,,,,,,,,
the Chiefs at the Super Bowl LVII,DET,ORG,A specific sports team participating in a major championship event,20231124_7,,,,,,,,,,
the Kansas City Chiefs,DET,ORG,A specific football team based in Kansas City,20231124_7,,,,,,,,,,
this week,DET,DATE,The current calendar week,20231124_7,,,,,,,,,,
time,NOUN,technical term,Duration,20231124_7,,,,,,,,,,
two,NUM,cardinal,Quantity,20231124_7,,,,,,,,,,
victory,NOUN,,"Successful achievement, accomplishment",20231124_7,,,,,,,,,,
win,NOUN,,Success in a competition,20231124_7,,,,,,,,,,
Middle East,PROPN,LOC,Region,20231103_3,,,,,,,,,,
2034,NUM,DATE,Year,20231103_3,,,,,,,,,,
Australia,PROPN,GPE,Nation,20231103_3,,,,,,,,,,
Fifa,PROPN,ORG,Organization,20231103_3,,,,,,,,,,
BBC,PROPN,ORG,Media Organization,20231103_3,,,,,,,,,,
Dan Roan,PROPN,PERSON,Individual,20231103_3,,,,,,,,,,
Japan,PROPN,GPE,Country,20231103_3,,,,,,,,,,
Egypt,PROPN,GPE,Country,20231103_3,,,,,,,,,,
Fifa World Cup,Noun Phrase,Event,The most prestigious international football competition.,20231103_3,,,,,,,,,,
Saudi Arabia,PROPN,Organization Name,Country,20231103_3,,,,,,,,,,
Tuesday,PROPN,DATE,Day of the Week,20231103_3,,,,,,,,,,
always,ADV,,Consistently or habitually,20231103_3,,,,,,,,,,
become,VERB,,Transition to a new state or condition,20231103_3,,,,,,,,,,
bidder,NOUN,Organization Name,Party seeking to host an event,20231103_3,,,,,,,,,,
country,NOUN,Organization Name,Sovereign nation,20231103_3,,,,,,,,,,
deadline,NOUN,,Final time limit for a task or action,20231103_3,,,,,,,,,,
declaration,NOUN,,Formal announcement or statement,20231103_3,,,,,,,,,,
editor,NOUN,Organization Name,Person responsible for overseeing content production,20231103_3,,,,,,,,,,
front-runner,ADJ,,Leading candidate or contender,20231103_3,,,,,,,,,,
host,VERB,Technical Term,Sports tournament organization,20231103_3,,,,,,,,,,
hour,NOUN,TIME,Time unit,20231103_3,,,,,,,,,,
intend,VERB,,"Plan, Aim",20231103_3,,,,,,,,,,
interest,NOUN,Technical Term,Desire to participate or involvement,20231103_3,,,,,,,,,,
investment,NOUN,Technical Term,Financial commitment or resource allocation,20231103_3,,,,,,,,,,
kingdom,NOUN,Organization Name,Political entity,20231103_3,,,,,,,,,,
lead,VERB,Technical Term,Guide or direct towards a goal,20231103_3,,,,,,,,,,
moment,NOUN,TIME,Unit of time,20231103_3,,,,,,,,,,
now,ADV,TIME,Present time,20231103_3,,,,,,,,,,
pull,VERB,Technical Term,Withdraw or retract,20231103_3,,,,,,,,,,
tournament,NOUN,Technical Term,Competitive Event,20231103_3,,,,,,,,,,
unprecedented,ADJ,EVENT,"Unique, Exceptional occurrence",20231103_3,,,,,,,,,,
sole,ADJ,QUALIFIER,Only one,20231103_3,,,,,,,,,,
say,VERB,,Express verbally,20231103_3,,,,,,,,,,
seemingly,ADV,,Appears to be,20231103_3,,,,,,,,,,
sport,NOUN,Technical Term,Athletic Activity,20231103_3,,,,,,,,,,
Jimmy Kimmel,PROPN,PERSON,Individual,20231117_17,,,,,,,,,,
Oscars,PROPN,Organization Name,Award Ceremony,20231117_17,,,,,,,,,,
fourth,ADJ,ORDINAL,Ordinal number,20231117_17,,,,,,,,,,
celebrity,NOUN,Organization Name,Famous Person,20231117_17,,,,,,,,,,
Academy Awards,PROPN,Organization Name,Award Ceremony,20231117_17,,,,,,,,,,
Amy Schumer,PROPN,PERSON,Comedian,20231117_17,,,,,,,,,,
Dwayne Johnson,PROPN,PERSON,Actor,20231117_17,,,,,,,,,,
Taylor Swift,PROPN,PERSON,Singer-Songwriter,20231117_17,,,,,,,,,,
2024 Academy Awards,Noun Phrase,Organization / Event Name,Annual Award Ceremony for Films,20231117_17,,,,,,,,,,
host,VERB,technical term,To preside over an event or ceremony.,20231117_17,,,,,,,,,,
time,NOUN,technical term,A measurement of duration.,20231117_17,,,,,,,,,,
return,VERB,,,20231117_17,,,,,,,,,,
28-year,ADJECTIVE,CARDINAL,Age,20240105_2,,,,,,,,,,
7-4,NUMBER,CARDINAL,Score,20240105_2,,,,,,,,,,
Alexandra Palace,NOUN,GPE,Location of Event,20240105_2,,,,,,,,,,
Humphries,NOUN,PERSON,Winner of Tournament,20240105_2,,,,,,,,,,
Littler,NOUN,PERSON,Dart Player,20240105_2,,,,,,,,,,
London,NOUN,GPE,City,20240105_2,,,,,,,,,,
Luke Humphries,NOUN,PERSON,Dart player,20240105_2,,,,,,,,,,
Luke Littler,NOUN,PERSON,Dart Player,20240105_2,,,,,,,,,,
Michael van Gerwen,NOUN,PERSON,Dart player,20240105_2,,,,,,,,,,
The Nuke,Nickname,Technical Term,Pseudonym for Luke Littler,20240105_2,,,,,,,,,,
PDC,PROPN,Organization Name,Professional Darts Corporation,20240105_2,,,,,,,,,,
Rob Cross,PROPN,Individual Name,Professional Darts Player,20240105_2,,,,,,,,,,
Scott Williams,PROPN,Individual Name,Professional Darts Player,20240105_2,,,,,,,,,,
Wednesday,PROPN,DATE,Day of the week,20240105_2,,,,,,,,,,
beat,VERB,Action Verb,To defeat in a competition,20240105_2,,,,,,,,,,
become,VERB,Action Verb,To attain a certain state or position,20240105_2,,,,,,,,,,
british,ADJ,Nationality,Relating to Britain,20240105_2,,,,,,,,,,
champ,NOUN,Role,"Champion, Winner",20240105_2,,,,,,,,,,
champion,NOUN,Role,Winner of a competition or title,20240105_2,,,,,,,,,,
championship,NOUN,Event,Competition to determine a champion,20240105_2,,,,,,,,,,
consecutive,ADJ,Technical Term,Sequence,20240105_2,,,,,,,,,,
dart,NOUN,Technical Term,Sport Equipment,20240105_2,,,,,,,,,,
defeat,VERB,Action,Overcome,20240105_2,,,,,,,,,,
finalist,NOUN,Technical Term,Competition Stage,20240105_2,,,,,,,,,,
five,NUM,CARDINAL,Quantity,20240105_2,,,,,,,,,,
former,ADJ,Time,Previous,20240105_2,,,,,,,,,,
lose,VERB,Action,Fail,20240105_2,,,,,,,,,,
new,ADJ,State,Recent,20240105_2,,,,,,,,,,
nickname,NOUN,Technical Term,Identity,20240105_2,,,,,,,,,,
old,ADJ,Time,Past,20240105_2,,,,,,,,,,
prodigy,NOUN,individual name,"Someone exceptionally talented, especially at a young age",20240105_2,,,,,,,,,,
set,NOUN,technical term,A group of games in a match,20240105_2,,,,,,,,,,
take,VERB,none,To achieve or possess something through action,20240105_2,,,,,,,,,,
teen,NOUN,TECHNICAL TERM,A young person in their adolescence,20240105_2,,,,,,,,,,
van Gerwen,PROPN,individual name,A Darts Player,20240105_2,,,,,,,,,,
win,VERB,none,To be victorious in a competition or contest,20240105_2,,,,,,,,,,
world,NOUN,TECHNICAL TERM,The global stage or the highest level of competition,20240105_2,,,,,,,,,,
world No.1s Cross,NOUN,organization name,The former world's top ranked darts players,20240105_2,,,,,,,,,,
youngest-ever,ADV,TECHNICAL TERM,Holding the record for the youngest at any given time,20240105_2,,,,,,,,,,
blood,NOUN,technical term,Biological fluid necessary for human life,20240112_11,,,,,,,,,,
concern,NOUN,abstract concept,Feeling of worry or unease about a potential issue,20240112_11,,,,,,,,,,
emergency,NOUN,abstract concept,Serious situation requiring immediate action,20240112_11,,,,,,,,,,
donor,NOUN,individual name,"Person who gives something, typically blood",20240112_11,,,,,,,,,,
delay,VERB,action,Postpone or put off something,20240112_11,,,,,,,,,,
critically,ADV,None,At a severe level,20240112_11,,,,,,,,,,
face,VERB,None,To deal with or confront,20240112_11,,,,,,,,,,
following,NOUN,None,What comes next or after,20240112_11,,,,,,,,,,
US,PROPN,GPE,A country in North America,20240112_11,,,,,,,,,,
20-year,NUM,CARDINAL,A period of twenty years,20240112_11,,,,,,,,,,
glove,NOUN,technical term,Protective Wear in medical settings,20240112_11,,,,,,,,,,
hospital,NOUN,organization name,Institution providing medical care,20240112_11,,,,,,,,,,
mask,NOUN,technical term,Protective Face Covering in medical settings,20240112_11,,,,,,,,,,
medical,ADJ,technical term,Related to healthcare or medicine,20240112_11,,,,,,,,,,
oxygen,NOUN,technical term,Essential gas for respiration and medical treatment,20240112_11,,,,,,,,,,
procedure,NOUN,technical term,Medical or surgical action performed,20240112_11,,,,,,,,,,
grow,VERB,,,20240112_11,,,,,,,,,,
hit,VERB,,,20240112_11,,,,,,,,,,
low,NOUN,,,20240112_11,,,,,,,,,,
number,NOUN,,,20240112_11,,,,,,,,,,
say,VERB,ACTION,Communication,20240112_11,,,,,,,,,,
short,ADJ,QUALITY,Limited,20240112_11,,,,,,,,,,
shortage,NOUN,EVENT,Lack of Supply,20240112_11,,,,,,,,,,
supply,NOUN,THING,Availability,20240112_11,,,,,,,,,,
the American Red Cross,DET,ORGANIZATION,Healthcare,20240112_11,,,,,,,,,,
71-year-old,NUM,DATE,Age,20231110_3,,,,,,,,,,
Angels,PROPN,ORG,Organization Name,20231110_3,,,,,,,,,,
Benji Gil,PROPN,PERSON,Individual Name,20231110_3,,,,,,,,,,
Buck Showalter,PROPN,PERSON,Individual Name,20231110_3,,,,,,,,,,
Dave Roberts,PROPN,PERSON,Individual Name,20231110_3,,,,,,,,,,
John Farrell,PROPN,PERSON,Individual Name,20231110_3,,,,,,,,,,
Nevin,PROPN,PERSON,Individual Name,20231110_3,,,,,,,,,,
Phil Nevin,PROPN,PERSON,Individual Name,20231110_3,,,,,,,,,,
Ron Washington,PROPN,PERSON,Individual Name,20231110_3,,,,,,,,,,
active,ADJ,,Status/Description,20231110_3,,,,,,,,,,
baseball,NOUN,technical term,Sport,20231110_3,,,,,,,,,,
black,ADJ,individual name,Ethnicity,20231110_3,,,,,,,,,,
boss,NOUN,organization name,Leadership Position,20231110_3,,,,,,,,,,
charge,NOUN,technical term,Responsibility,20231110_3,,,,,,,,,,
contract,NOUN,organization name,Agreement,20231110_3,,,,,,,,,,
expire,VERB,technical term,End,20231110_3,,,,,,,,,,
former,ADJ,organization name,Previous,20231110_3,,,,,,,,,,
hire,VERB,technical term,Employment,20231110_3,,,,,,,,,,
join,VERB,technical term,Association,20231110_3,,,,,,,,,,
long-struggling,ADV,,Difficulty enduring,20231110_3,,,,,,,,,,
lose,VERB,,To experience defeat or failure,20231110_3,,,,,,,,,,
major league baseball,ADJ,ORGANIZATION NAME,Professional Baseball League,20231110_3,,,,,,,,,,
manager,NOUN,,Leader of a team or group,20231110_3,,,,,,,,,,
now,ADV,,Current Time,20231110_3,,,,,,,,,,
old,ADJ,,Advanced in age,20231110_3,,,,,,,,,,
one and a half,NUM,CARDINAL,A Quantity Representing a Portion,20231110_3,,,,,,,,,,
only,ADV,,Exclusive or Solely,20231110_3,,,,,,,,,,
re-signe,VERB,,Dismiss or Release from Employment,20231110_3,,,,,,,,,,
replace,VERB,,To Substitute for Something Else,20231110_3,,,,,,,,,,
season,NOUN,TECHNICAL TERM,Sports Time Period,20231110_3,,,,,,,,,,
second,ADJ,ORDINAL,Ranking Position,20231110_3,,,,,,,,,,
team,NOUN,ORGANIZATION NAME,Sports Group,20231110_3,,,,,,,,,,
the Los Angeles Angels,DET,ORGANIZATION NAME,Baseball Team,20231110_3,,,,,,,,,,
